year,Janea
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,8
1962,0
1963,0
1964,8
1965,0
1966,5
1967,5
1968,15
1969,0
1970,0
1971,16
1972,7
1973,36
1974,25
1975,10
1976,21
1977,26
1978,26
1979,46
1980,37
1981,38
1982,32
1983,35
1984,44
1985,43
1986,31
1987,56
1988,48
1989,72
1990,65
1991,69
1992,65
1993,76
1994,58
1995,52
1996,57
1997,52
1998,62
1999,64
2000,53
2001,63
2002,44
2003,49
2004,55
2005,61
2006,36
2007,54
2008,45
2009,37
2010,25
2011,17
2012,30
