year,Johnnetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,7
1947,0
1948,0
1949,0
1950,0
1951,0
1952,5
1953,9
1954,7
1955,0
1956,9
1957,7
1958,9
1959,7
1960,8
1961,10
1962,5
1963,0
1964,6
1965,6
1966,12
1967,9
1968,7
1969,6
1970,11
1971,8
1972,8
1973,15
1974,12
1975,13
1976,15
1977,12
1978,11
1979,18
1980,9
1981,12
1982,6
1983,8
1984,10
1985,11
1986,0
1987,11
1988,8
1989,5
1990,10
1991,9
1992,12
1993,6
1994,5
1995,11
1996,9
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
