year,Jerrett
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,9
1968,6
1969,13
1970,20
1971,12
1972,18
1973,15
1974,23
1975,18
1976,22
1977,21
1978,23
1979,26
1980,45
1981,35
1982,29
1983,34
1984,30
1985,34
1986,34
1987,35
1988,43
1989,41
1990,33
1991,36
1992,37
1993,41
1994,25
1995,30
1996,21
1997,24
1998,30
1999,27
2000,33
2001,32
2002,28
2003,25
2004,16
2005,18
2006,21
2007,13
2008,18
2009,12
2010,12
2011,13
2012,19
