year,Janay
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,5
1953,0
1954,0
1955,0
1956,0
1957,0
1958,9
1959,5
1960,5
1961,12
1962,6
1963,12
1964,0
1965,0
1966,0
1967,13
1968,11
1969,10
1970,12
1971,15
1972,29
1973,71
1974,25
1975,11
1976,29
1977,29
1978,36
1979,34
1980,24
1981,32
1982,34
1983,42
1984,40
1985,37
1986,47
1987,596
1988,429
1989,315
1990,291
1991,262
1992,248
1993,173
1994,221
1995,245
1996,192
1997,204
1998,143
1999,122
2000,114
2001,122
2002,124
2003,118
2004,101
2005,128
2006,94
2007,92
2008,73
2009,94
2010,112
2011,112
2012,74
