year,Joice
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,5
1922,0
1923,6
1924,9
1925,6
1926,9
1927,9
1928,15
1929,9
1930,16
1931,7
1932,13
1933,11
1934,9
1935,9
1936,14
1937,12
1938,17
1939,15
1940,11
1941,14
1942,24
1943,16
1944,19
1945,22
1946,23
1947,17
1948,5
1949,15
1950,12
1951,10
1952,15
1953,10
1954,11
1955,9
1956,11
1957,6
1958,9
1959,7
1960,11
1961,6
1962,9
1963,0
1964,0
1965,0
1966,5
1967,5
1968,0
1969,7
1970,0
1971,7
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,7
1993,7
1994,0
1995,0
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,6
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,5
2012,0
