year,Jaci
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,5
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,8
1946,0
1947,5
1948,8
1949,0
1950,6
1951,0
1952,8
1953,11
1954,9
1955,12
1956,25
1957,45
1958,33
1959,27
1960,25
1961,27
1962,28
1963,32
1964,23
1965,24
1966,27
1967,19
1968,16
1969,21
1970,26
1971,28
1972,25
1973,34
1974,24
1975,22
1976,26
1977,35
1978,37
1979,30
1980,29
1981,55
1982,42
1983,25
1984,32
1985,35
1986,41
1987,45
1988,46
1989,46
1990,53
1991,78
1992,84
1993,86
1994,70
1995,83
1996,89
1997,108
1998,121
1999,149
2000,136
2001,147
2002,156
2003,172
2004,210
2005,221
2006,198
2007,183
2008,134
2009,145
2010,123
2011,141
2012,114
