year,Jac
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,0
1918,0
1919,6
1920,0
1921,0
1922,0
1923,6
1924,0
1925,0
1926,0
1927,9
1928,9
1929,6
1930,0
1931,0
1932,0
1933,0
1934,10
1935,0
1936,0
1937,0
1938,5
1939,7
1940,5
1941,0
1942,10
1943,0
1944,5
1945,0
1946,5
1947,0
1948,0
1949,8
1950,8
1951,13
1952,17
1953,9
1954,8
1955,12
1956,17
1957,8
1958,11
1959,15
1960,10
1961,10
1962,9
1963,10
1964,0
1965,10
1966,6
1967,6
1968,10
1969,6
1970,6
1971,0
1972,6
1973,6
1974,0
1975,0
1976,0
1977,0
1978,5
1979,0
1980,0
1981,0
1982,0
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,8
1998,11
1999,5
2000,9
2001,12
2002,8
2003,5
2004,9
2005,12
2006,9
2007,8
2008,15
2009,11
2010,6
2011,9
2012,7
