year,Jesica
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,6
1967,0
1968,8
1969,16
1970,14
1971,17
1972,27
1973,37
1974,34
1975,66
1976,96
1977,97
1978,113
1979,126
1980,138
1981,184
1982,178
1983,170
1984,170
1985,194
1986,204
1987,238
1988,213
1989,189
1990,204
1991,199
1992,156
1993,157
1994,144
1995,146
1996,97
1997,117
1998,88
1999,85
2000,86
2001,100
2002,69
2003,81
2004,81
2005,51
2006,59
2007,35
2008,46
2009,35
2010,24
2011,23
2012,17
