year,Janece
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,11
1931,0
1932,0
1933,0
1934,8
1935,7
1936,8
1937,6
1938,5
1939,6
1940,0
1941,0
1942,12
1943,7
1944,0
1945,0
1946,5
1947,8
1948,8
1949,8
1950,8
1951,5
1952,12
1953,10
1954,13
1955,16
1956,15
1957,17
1958,10
1959,12
1960,19
1961,15
1962,13
1963,13
1964,7
1965,7
1966,10
1967,10
1968,7
1969,13
1970,7
1971,6
1972,15
1973,0
1974,0
1975,10
1976,11
1977,6
1978,5
1979,10
1980,9
1981,7
1982,8
1983,0
1984,11
1985,9
1986,6
1987,10
1988,12
1989,9
1990,9
1991,10
1992,18
1993,12
1994,14
1995,10
1996,11
1997,16
1998,8
1999,10
2000,5
2001,7
2002,5
2003,6
2004,9
2005,5
2006,0
2007,6
2008,0
2009,0
2010,0
2011,0
2012,0
