year,Jaime (F),Jaime (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000004
1917,0.000000,0.000003
1918,0.000000,0.000005
1919,0.000000,0.000004
1920,0.000000,0.000006
1921,0.000000,0.000003
1922,0.000000,0.000006
1923,0.000000,0.000003
1924,0.000000,0.000007
1925,0.000000,0.000006
1926,0.000000,0.000011
1927,0.000000,0.000009
1928,0.000000,0.000012
1929,0.000000,0.000017
1930,0.000000,0.000019
1931,0.000000,0.000019
1932,0.000000,0.000013
1933,0.000000,0.000020
1934,0.000000,0.000014
1935,0.000000,0.000014
1936,0.000000,0.000013
1937,0.000002,0.000014
1938,0.000000,0.000015
1939,0.000000,0.000015
1940,0.000000,0.000017
1941,0.000000,0.000015
1942,0.000000,0.000018
1943,0.000000,0.000018
1944,0.000000,0.000019
1945,0.000002,0.000029
1946,0.000005,0.000025
1947,0.000004,0.000034
1948,0.000004,0.000035
1949,0.000007,0.000041
1950,0.000008,0.000044
1951,0.000008,0.000046
1952,0.000006,0.000054
1953,0.000009,0.000066
1954,0.000011,0.000074
1955,0.000014,0.000094
1956,0.000019,0.000096
1957,0.000016,0.000105
1958,0.000026,0.000141
1959,0.000031,0.000151
1960,0.000023,0.000154
1961,0.000031,0.000161
1962,0.000030,0.000165
1963,0.000029,0.000163
1964,0.000026,0.000179
1965,0.000031,0.000188
1966,0.000043,0.000209
1967,0.000043,0.000211
1968,0.000042,0.000234
1969,0.000048,0.000230
1970,0.000061,0.000260
1971,0.000057,0.000300
1972,0.000053,0.000321
1973,0.000062,0.000353
1974,0.000086,0.000359
1975,0.000303,0.000422
1976,0.002582,0.000462
1977,0.001859,0.000429
1978,0.001261,0.000403
1979,0.000927,0.000408
1980,0.000768,0.000426
1981,0.000689,0.000408
1982,0.000626,0.000385
1983,0.000514,0.000353
1984,0.000431,0.000337
1985,0.000437,0.000331
1986,0.000343,0.000341
1987,0.000307,0.000328
1988,0.000257,0.000340
1989,0.000225,0.000363
1990,0.000223,0.000363
1991,0.000190,0.000371
1992,0.000178,0.000372
1993,0.000173,0.000379
1994,0.000154,0.000375
1995,0.000165,0.000355
1996,0.000137,0.000360
1997,0.000117,0.000334
1998,0.000118,0.000352
1999,0.000103,0.000358
2000,0.000083,0.000334
2001,0.000079,0.000358
2002,0.000072,0.000338
2003,0.000070,0.000332
2004,0.000067,0.000313
2005,0.000051,0.000327
2006,0.000052,0.000314
2007,0.000046,0.000307
2008,0.000032,0.000266
2009,0.000036,0.000252
2010,0.000023,0.000220
2011,0.000025,0.000209
2012,0.000023,0.000200
2013,0.000025,0.000188
2014,0.000020,0.000167
2015,0.000019,0.000165
2016,0.000016,0.000179
2017,0.000017,0.000170
2018,0.000022,0.000157
2019,0.000014,0.000150
2020,0.000016,0.000149
