year,Joline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,0
1921,0
1922,5
1923,5
1924,13
1925,18
1926,23
1927,16
1928,68
1929,20
1930,24
1931,28
1932,20
1933,29
1934,26
1935,23
1936,26
1937,19
1938,12
1939,17
1940,14
1941,12
1942,25
1943,19
1944,26
1945,11
1946,24
1947,25
1948,22
1949,28
1950,26
1951,25
1952,24
1953,36
1954,36
1955,37
1956,41
1957,26
1958,29
1959,33
1960,34
1961,48
1962,27
1963,22
1964,27
1965,22
1966,24
1967,31
1968,23
1969,13
1970,12
1971,12
1972,16
1973,12
1974,45
1975,37
1976,37
1977,32
1978,27
1979,26
1980,41
1981,32
1982,36
1983,26
1984,32
1985,23
1986,22
1987,21
1988,21
1989,25
1990,18
1991,23
1992,12
1993,14
1994,13
1995,10
1996,0
1997,6
1998,9
1999,7
2000,10
2001,14
2002,16
2003,14
2004,9
2005,26
2006,24
2007,21
2008,25
2009,12
2010,8
2011,12
2012,15
