year,Janalee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,6
1935,0
1936,0
1937,0
1938,5
1939,14
1940,14
1941,14
1942,11
1943,9
1944,9
1945,16
1946,16
1947,12
1948,15
1949,21
1950,12
1951,11
1952,19
1953,20
1954,18
1955,16
1956,23
1957,26
1958,21
1959,26
1960,17
1961,15
1962,31
1963,26
1964,23
1965,18
1966,24
1967,15
1968,15
1969,20
1970,18
1971,16
1972,19
1973,10
1974,20
1975,13
1976,8
1977,13
1978,14
1979,11
1980,13
1981,13
1982,21
1983,13
1984,18
1985,19
1986,10
1987,13
1988,8
1989,13
1990,13
1991,5
1992,7
1993,7
1994,6
1995,0
1996,0
1997,0
1998,9
1999,0
2000,7
2001,0
2002,0
2003,0
2004,7
2005,6
2006,0
2007,6
2008,7
2009,7
2010,6
2011,7
2012,8
