year,Jayna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,6
1947,0
1948,0
1949,9
1950,0
1951,0
1952,14
1953,12
1954,14
1955,15
1956,17
1957,12
1958,21
1959,31
1960,31
1961,57
1962,39
1963,52
1964,44
1965,34
1966,33
1967,35
1968,41
1969,42
1970,43
1971,42
1972,43
1973,40
1974,39
1975,33
1976,44
1977,38
1978,65
1979,69
1980,74
1981,68
1982,64
1983,64
1984,83
1985,66
1986,69
1987,62
1988,60
1989,89
1990,75
1991,69
1992,81
1993,75
1994,119
1995,74
1996,78
1997,90
1998,108
1999,123
2000,128
2001,161
2002,143
2003,159
2004,152
2005,175
2006,179
2007,164
2008,145
2009,130
2010,126
2011,113
2012,129
