year,Jenice
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,6
1922,0
1923,0
1924,0
1925,0
1926,0
1927,6
1928,0
1929,0
1930,0
1931,6
1932,5
1933,7
1934,5
1935,0
1936,9
1937,11
1938,9
1939,13
1940,15
1941,6
1942,5
1943,7
1944,14
1945,16
1946,10
1947,14
1948,10
1949,9
1950,11
1951,21
1952,32
1953,38
1954,39
1955,31
1956,28
1957,38
1958,32
1959,48
1960,33
1961,56
1962,41
1963,29
1964,27
1965,17
1966,34
1967,29
1968,24
1969,27
1970,33
1971,32
1972,20
1973,32
1974,43
1975,21
1976,26
1977,27
1978,29
1979,26
1980,31
1981,31
1982,35
1983,28
1984,25
1985,30
1986,33
1987,32
1988,38
1989,32
1990,32
1991,22
1992,34
1993,35
1994,34
1995,21
1996,22
1997,17
1998,21
1999,15
2000,14
2001,16
2002,30
2003,13
2004,13
2005,17
2006,14
2007,20
2008,6
2009,18
2010,12
2011,10
2012,11
