year,Jorie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,5
1951,0
1952,10
1953,0
1954,6
1955,6
1956,8
1957,0
1958,0
1959,0
1960,5
1961,7
1962,0
1963,5
1964,5
1965,5
1966,8
1967,7
1968,15
1969,16
1970,15
1971,24
1972,17
1973,21
1974,19
1975,11
1976,12
1977,18
1978,15
1979,16
1980,22
1981,21
1982,22
1983,16
1984,24
1985,21
1986,28
1987,20
1988,12
1989,24
1990,19
1991,46
1992,35
1993,20
1994,42
1995,31
1996,23
1997,29
1998,15
1999,26
2000,24
2001,24
2002,19
2003,15
2004,18
2005,25
2006,17
2007,29
2008,18
2009,29
2010,21
2011,22
2012,25
