year,Jolyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,5
1937,5
1938,0
1939,5
1940,5
1941,6
1942,8
1943,6
1944,5
1945,8
1946,10
1947,18
1948,11
1949,16
1950,17
1951,24
1952,35
1953,29
1954,30
1955,33
1956,34
1957,36
1958,36
1959,37
1960,40
1961,45
1962,36
1963,37
1964,44
1965,25
1966,35
1967,27
1968,45
1969,51
1970,38
1971,42
1972,38
1973,35
1974,42
1975,51
1976,40
1977,42
1978,45
1979,38
1980,39
1981,41
1982,41
1983,36
1984,26
1985,21
1986,22
1987,29
1988,30
1989,21
1990,20
1991,21
1992,24
1993,20
1994,15
1995,13
1996,17
1997,16
1998,12
1999,14
2000,9
2001,15
2002,9
2003,21
2004,20
2005,19
2006,17
2007,14
2008,14
2009,17
2010,14
2011,7
2012,14
