year,Jenita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,6
1937,0
1938,7
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,5
1946,0
1947,5
1948,0
1949,5
1950,8
1951,0
1952,6
1953,7
1954,5
1955,10
1956,6
1957,10
1958,9
1959,9
1960,9
1961,7
1962,10
1963,10
1964,10
1965,9
1966,0
1967,8
1968,11
1969,9
1970,11
1971,15
1972,15
1973,9
1974,9
1975,9
1976,11
1977,20
1978,12
1979,20
1980,17
1981,11
1982,12
1983,18
1984,9
1985,10
1986,8
1987,13
1988,17
1989,6
1990,5
1991,7
1992,7
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,6
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
