year,Jerilynn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,56
1942,162
1943,58
1944,36
1945,36
1946,32
1947,20
1948,28
1949,16
1950,17
1951,14
1952,36
1953,19
1954,40
1955,24
1956,27
1957,14
1958,30
1959,21
1960,21
1961,17
1962,18
1963,26
1964,25
1965,19
1966,18
1967,21
1968,19
1969,12
1970,18
1971,17
1972,7
1973,13
1974,10
1975,10
1976,12
1977,10
1978,6
1979,8
1980,9
1981,11
1982,8
1983,18
1984,12
1985,14
1986,15
1987,7
1988,9
1989,8
1990,0
1991,10
1992,5
1993,5
1994,5
1995,8
1996,7
1997,5
1998,5
1999,12
2000,10
2001,9
2002,0
2003,6
2004,8
2005,10
2006,6
2007,7
2008,0
2009,8
2010,5
2011,10
2012,0
