year,Jesusa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,8
1900,14
1901,7
1902,5
1903,0
1904,11
1905,13
1906,9
1907,10
1908,11
1909,7
1910,13
1911,6
1912,16
1913,22
1914,18
1915,19
1916,25
1917,22
1918,31
1919,47
1920,49
1921,47
1922,51
1923,45
1924,55
1925,41
1926,33
1927,36
1928,41
1929,48
1930,45
1931,34
1932,33
1933,27
1934,34
1935,31
1936,31
1937,32
1938,22
1939,24
1940,22
1941,21
1942,24
1943,36
1944,34
1945,33
1946,35
1947,35
1948,24
1949,33
1950,36
1951,22
1952,18
1953,28
1954,21
1955,14
1956,28
1957,10
1958,12
1959,16
1960,14
1961,18
1962,14
1963,13
1964,17
1965,18
1966,10
1967,18
1968,11
1969,10
1970,9
1971,13
1972,10
1973,12
1974,10
1975,6
1976,0
1977,6
1978,10
1979,0
1980,8
1981,12
1982,9
1983,8
1984,7
1985,9
1986,6
1987,0
1988,5
1989,0
1990,8
1991,0
1992,0
1993,0
1994,5
1995,5
1996,0
1997,0
1998,0
1999,6
2000,0
2001,5
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
