year,Janene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,6
1930,0
1931,6
1932,0
1933,0
1934,8
1935,13
1936,18
1937,17
1938,15
1939,19
1940,27
1941,17
1942,28
1943,21
1944,24
1945,21
1946,37
1947,51
1948,52
1949,40
1950,63
1951,72
1952,73
1953,77
1954,73
1955,73
1956,76
1957,68
1958,73
1959,95
1960,105
1961,120
1962,93
1963,99
1964,110
1965,80
1966,84
1967,88
1968,98
1969,150
1970,231
1971,113
1972,88
1973,84
1974,69
1975,72
1976,54
1977,72
1978,63
1979,53
1980,58
1981,47
1982,51
1983,30
1984,35
1985,27
1986,25
1987,25
1988,19
1989,8
1990,13
1991,14
1992,18
1993,12
1994,14
1995,10
1996,7
1997,0
1998,7
1999,5
2000,5
2001,7
2002,8
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,5
2011,0
2012,5
