year,Joane
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,6
1922,5
1923,0
1924,6
1925,11
1926,13
1927,11
1928,18
1929,24
1930,27
1931,27
1932,21
1933,26
1934,23
1935,34
1936,28
1937,24
1938,20
1939,23
1940,22
1941,25
1942,30
1943,27
1944,25
1945,19
1946,17
1947,19
1948,24
1949,23
1950,27
1951,21
1952,27
1953,27
1954,25
1955,23
1956,24
1957,18
1958,17
1959,20
1960,20
1961,21
1962,18
1963,20
1964,24
1965,11
1966,5
1967,10
1968,9
1969,9
1970,6
1971,10
1972,7
1973,0
1974,12
1975,11
1976,8
1977,8
1978,0
1979,6
1980,12
1981,6
1982,11
1983,13
1984,10
1985,12
1986,10
1987,9
1988,6
1989,8
1990,15
1991,9
1992,7
1993,5
1994,9
1995,0
1996,7
1997,6
1998,0
1999,6
2000,7
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
