year,Jorje
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,6
1945,7
1946,0
1947,6
1948,0
1949,5
1950,6
1951,5
1952,7
1953,0
1954,7
1955,11
1956,0
1957,10
1958,10
1959,6
1960,10
1961,6
1962,13
1963,13
1964,7
1965,8
1966,17
1967,8
1968,19
1969,10
1970,20
1971,14
1972,12
1973,30
1974,31
1975,31
1976,31
1977,39
1978,32
1979,60
1980,41
1981,41
1982,40
1983,32
1984,24
1985,30
1986,25
1987,24
1988,15
1989,18
1990,25
1991,20
1992,23
1993,24
1994,19
1995,27
1996,22
1997,18
1998,13
1999,25
2000,24
2001,15
2002,15
2003,16
2004,19
2005,6
2006,16
2007,10
2008,15
2009,5
2010,0
2011,0
2012,0
