year,Jasper (F),Jasper (M)
1880,0.000000,0.000486
1881,0.000000,0.000431
1882,0.000000,0.000397
1883,0.000000,0.000341
1884,0.000000,0.000341
1885,0.000000,0.000361
1886,0.000000,0.000345
1887,0.000000,0.000263
1888,0.000000,0.000260
1889,0.000000,0.000263
1890,0.000000,0.000315
1891,0.000000,0.000202
1892,0.000000,0.000209
1893,0.000000,0.000221
1894,0.000000,0.000180
1895,0.000000,0.000202
1896,0.000000,0.000252
1897,0.000000,0.000239
1898,0.000000,0.000157
1899,0.000000,0.000192
1900,0.000000,0.000215
1901,0.000000,0.000168
1902,0.000000,0.000173
1903,0.000000,0.000150
1904,0.000000,0.000129
1905,0.000000,0.000189
1906,0.000000,0.000131
1907,0.000000,0.000187
1908,0.000000,0.000160
1909,0.000000,0.000162
1910,0.000000,0.000139
1911,0.000000,0.000177
1912,0.000000,0.000180
1913,0.000000,0.000218
1914,0.000000,0.000216
1915,0.000000,0.000181
1916,0.000000,0.000185
1917,0.000000,0.000188
1918,0.000000,0.000180
1919,0.000000,0.000201
1920,0.000000,0.000171
1921,0.000000,0.000167
1922,0.000000,0.000185
1923,0.000000,0.000175
1924,0.000000,0.000166
1925,0.000000,0.000165
1926,0.000002,0.000170
1927,0.000002,0.000149
1928,0.000003,0.000149
1929,0.000000,0.000140
1930,0.000000,0.000129
1931,0.000000,0.000120
1932,0.000000,0.000124
1933,0.000000,0.000116
1934,0.000000,0.000118
1935,0.000000,0.000102
1936,0.000000,0.000114
1937,0.000000,0.000102
1938,0.000000,0.000090
1939,0.000000,0.000101
1940,0.000000,0.000096
1941,0.000000,0.000085
1942,0.000002,0.000088
1943,0.000000,0.000089
1944,0.000000,0.000068
1945,0.000000,0.000072
1946,0.000000,0.000063
1947,0.000000,0.000057
1948,0.000000,0.000065
1949,0.000000,0.000055
1950,0.000000,0.000059
1951,0.000000,0.000058
1952,0.000000,0.000054
1953,0.000000,0.000048
1954,0.000000,0.000053
1955,0.000000,0.000046
1956,0.000000,0.000044
1957,0.000000,0.000040
1958,0.000000,0.000046
1959,0.000000,0.000042
1960,0.000000,0.000044
1961,0.000000,0.000037
1962,0.000000,0.000039
1963,0.000000,0.000036
1964,0.000000,0.000036
1965,0.000000,0.000033
1966,0.000000,0.000031
1967,0.000000,0.000037
1968,0.000000,0.000028
1969,0.000000,0.000033
1970,0.000000,0.000027
1971,0.000000,0.000031
1972,0.000000,0.000033
1973,0.000000,0.000034
1974,0.000000,0.000034
1975,0.000000,0.000039
1976,0.000000,0.000039
1977,0.000000,0.000042
1978,0.000000,0.000045
1979,0.000002,0.000046
1980,0.000001,0.000047
1981,0.000001,0.000056
1982,0.000001,0.000044
1983,0.000002,0.000050
1984,0.000000,0.000041
1985,0.000002,0.000050
1986,0.000003,0.000048
1987,0.000002,0.000057
1988,0.000003,0.000067
1989,0.000004,0.000060
1990,0.000003,0.000068
1991,0.000003,0.000064
1992,0.000003,0.000063
1993,0.000003,0.000060
1994,0.000005,0.000056
1995,0.000006,0.000065
1996,0.000006,0.000069
1997,0.000006,0.000076
1998,0.000004,0.000082
1999,0.000007,0.000076
2000,0.000006,0.000088
2001,0.000007,0.000104
2002,0.000006,0.000128
2003,0.000005,0.000122
2004,0.000004,0.000102
2005,0.000005,0.000117
2006,0.000005,0.000112
2007,0.000006,0.000147
2008,0.000005,0.000159
2009,0.000008,0.000247
2010,0.000003,0.000320
2011,0.000008,0.000342
2012,0.000007,0.000370
