year,Jacquelyn (F),Jacquelyn (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000019,0.000000
1908,0.000010,0.000000
1909,0.000012,0.000000
1910,0.000010,0.000000
1911,0.000008,0.000000
1912,0.000000,0.000000
1913,0.000019,0.000000
1914,0.000011,0.000000
1915,0.000017,0.000000
1916,0.000011,0.000000
1917,0.000016,0.000000
1918,0.000020,0.000000
1919,0.000031,0.000000
1920,0.000036,0.000000
1921,0.000039,0.000000
1922,0.000071,0.000000
1923,0.000101,0.000000
1924,0.000118,0.000000
1925,0.000131,0.000000
1926,0.000163,0.000000
1927,0.000210,0.000000
1928,0.000207,0.000000
1929,0.000249,0.000000
1930,0.000300,0.000000
1931,0.000307,0.000000
1932,0.000312,0.000000
1933,0.000314,0.000000
1934,0.000319,0.000000
1935,0.000325,0.000000
1936,0.000334,0.000000
1937,0.000334,0.000000
1938,0.000335,0.000000
1939,0.000329,0.000000
1940,0.000301,0.000000
1941,0.000321,0.000000
1942,0.000324,0.000002
1943,0.000334,0.000000
1944,0.000362,0.000002
1945,0.000358,0.000000
1946,0.000378,0.000000
1947,0.000386,0.000001
1948,0.000412,0.000000
1949,0.000413,0.000000
1950,0.000493,0.000000
1951,0.000516,0.000000
1952,0.000440,0.000000
1953,0.000453,0.000001
1954,0.000402,0.000000
1955,0.000374,0.000000
1956,0.000339,0.000000
1957,0.000285,0.000001
1958,0.000268,0.000000
1959,0.000235,0.000000
1960,0.000252,0.000000
1961,0.000337,0.000000
1962,0.000307,0.000000
1963,0.000277,0.000002
1964,0.000327,0.000001
1965,0.000304,0.000000
1966,0.000294,0.000000
1967,0.000287,0.000002
1968,0.000302,0.000002
1969,0.000275,0.000000
1970,0.000263,0.000002
1971,0.000235,0.000000
1972,0.000212,0.000000
1973,0.000196,0.000000
1974,0.000212,0.000000
1975,0.000199,0.000000
1976,0.000183,0.000000
1977,0.000229,0.000000
1978,0.000273,0.000003
1979,0.000280,0.000002
1980,0.000301,0.000000
1981,0.000332,0.000001
1982,0.000410,0.000003
1983,0.000398,0.000002
1984,0.000411,0.000000
1985,0.000381,0.000000
1986,0.000355,0.000000
1987,0.000406,0.000000
1988,0.000416,0.000002
1989,0.000355,0.000001
1990,0.000329,0.000002
1991,0.000311,0.000000
1992,0.000298,0.000000
1993,0.000293,0.000000
1994,0.000281,0.000000
1995,0.000272,0.000000
1996,0.000249,0.000000
1997,0.000235,0.000000
1998,0.000206,0.000000
1999,0.000192,0.000000
2000,0.000220,0.000000
2001,0.000177,0.000000
2002,0.000166,0.000000
2003,0.000140,0.000000
2004,0.000116,0.000000
2005,0.000110,0.000000
2006,0.000109,0.000000
2007,0.000109,0.000000
2008,0.000092,0.000000
2009,0.000079,0.000000
2010,0.000084,0.000000
2011,0.000067,0.000000
2012,0.000067,0.000000
