year,Jonette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,7
1938,6
1939,12
1940,6
1941,10
1942,18
1943,10
1944,15
1945,15
1946,17
1947,21
1948,13
1949,17
1950,17
1951,21
1952,23
1953,29
1954,32
1955,28
1956,28
1957,27
1958,18
1959,26
1960,34
1961,43
1962,48
1963,31
1964,35
1965,28
1966,29
1967,41
1968,25
1969,45
1970,32
1971,32
1972,21
1973,23
1974,22
1975,21
1976,20
1977,22
1978,22
1979,27
1980,17
1981,18
1982,21
1983,13
1984,9
1985,12
1986,9
1987,12
1988,11
1989,12
1990,7
1991,9
1992,5
1993,12
1994,0
1995,8
1996,0
1997,10
1998,8
1999,0
2000,0
2001,6
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
