year,Joi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,7
1943,5
1944,0
1945,5
1946,0
1947,0
1948,6
1949,6
1950,0
1951,6
1952,6
1953,8
1954,9
1955,23
1956,44
1957,66
1958,78
1959,84
1960,91
1961,77
1962,46
1963,51
1964,50
1965,61
1966,85
1967,70
1968,68
1969,78
1970,64
1971,63
1972,55
1973,69
1974,91
1975,81
1976,72
1977,122
1978,122
1979,119
1980,137
1981,164
1982,138
1983,101
1984,110
1985,100
1986,83
1987,102
1988,97
1989,82
1990,80
1991,80
1992,81
1993,82
1994,108
1995,120
1996,76
1997,106
1998,105
1999,87
2000,97
2001,119
2002,116
2003,104
2004,102
2005,97
2006,84
2007,90
2008,96
2009,89
2010,60
2011,69
2012,81
