year,Johnathan (F),Johnathan (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000023
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000004
1915,0.000000,0.000003
1916,0.000000,0.000007
1917,0.000000,0.000005
1918,0.000000,0.000003
1919,0.000000,0.000004
1920,0.000000,0.000003
1921,0.000000,0.000004
1922,0.000000,0.000004
1923,0.000000,0.000004
1924,0.000000,0.000003
1925,0.000000,0.000006
1926,0.000000,0.000004
1927,0.000000,0.000002
1928,0.000000,0.000003
1929,0.000000,0.000006
1930,0.000000,0.000004
1931,0.000000,0.000004
1932,0.000000,0.000003
1933,0.000000,0.000008
1934,0.000000,0.000003
1935,0.000000,0.000004
1936,0.000000,0.000003
1937,0.000000,0.000005
1938,0.000000,0.000005
1939,0.000000,0.000006
1940,0.000000,0.000005
1941,0.000000,0.000002
1942,0.000000,0.000005
1943,0.000000,0.000007
1944,0.000000,0.000007
1945,0.000000,0.000007
1946,0.000000,0.000006
1947,0.000000,0.000007
1948,0.000000,0.000011
1949,0.000000,0.000014
1950,0.000000,0.000011
1951,0.000000,0.000010
1952,0.000000,0.000014
1953,0.000000,0.000020
1954,0.000000,0.000020
1955,0.000000,0.000024
1956,0.000000,0.000026
1957,0.000000,0.000021
1958,0.000000,0.000026
1959,0.000000,0.000026
1960,0.000000,0.000034
1961,0.000000,0.000032
1962,0.000000,0.000057
1963,0.000000,0.000054
1964,0.000000,0.000057
1965,0.000000,0.000058
1966,0.000000,0.000075
1967,0.000000,0.000079
1968,0.000000,0.000107
1969,0.000002,0.000114
1970,0.000000,0.000139
1971,0.000001,0.000168
1972,0.000000,0.000209
1973,0.000002,0.000245
1974,0.000002,0.000220
1975,0.000002,0.000264
1976,0.000003,0.000288
1977,0.000002,0.000293
1978,0.000005,0.000298
1979,0.000002,0.000343
1980,0.000003,0.000408
1981,0.000004,0.000494
1982,0.000005,0.000524
1983,0.000007,0.000556
1984,0.000005,0.000601
1985,0.000004,0.000670
1986,0.000006,0.000680
1987,0.000006,0.000688
1988,0.000004,0.000724
1989,0.000003,0.000771
1990,0.000002,0.000822
1991,0.000002,0.000801
1992,0.000000,0.000754
1993,0.000003,0.000722
1994,0.000003,0.000703
1995,0.000002,0.000668
1996,0.000002,0.000703
1997,0.000003,0.000703
1998,0.000000,0.000705
1999,0.000002,0.000682
2000,0.000000,0.000653
2001,0.000002,0.000616
2002,0.000001,0.000606
2003,0.000000,0.000577
2004,0.000003,0.000570
2005,0.000003,0.000584
2006,0.000000,0.000582
2007,0.000002,0.000538
2008,0.000001,0.000499
2009,0.000000,0.000481
2010,0.000000,0.000446
2011,0.000000,0.000409
2012,0.000000,0.000384
2013,0.000000,0.000341
