year,Julian (F),Julian (M)
1880,0.000000,0.000159
1881,0.000000,0.000187
1882,0.000000,0.000185
1883,0.000000,0.000221
1884,0.000000,0.000197
1885,0.000000,0.000203
1886,0.000000,0.000196
1887,0.000000,0.000162
1888,0.000000,0.000157
1889,0.000000,0.000170
1890,0.000027,0.000209
1891,0.000017,0.000150
1892,0.000000,0.000156
1893,0.000000,0.000209
1894,0.000000,0.000156
1895,0.000000,0.000157
1896,0.000014,0.000159
1897,0.000000,0.000153
1898,0.000018,0.000181
1899,0.000018,0.000133
1900,0.000016,0.000175
1901,0.000000,0.000191
1902,0.000000,0.000160
1903,0.000000,0.000155
1904,0.000015,0.000161
1905,0.000000,0.000184
1906,0.000014,0.000238
1907,0.000017,0.000198
1908,0.000014,0.000180
1909,0.000022,0.000200
1910,0.000008,0.000218
1911,0.000011,0.000236
1912,0.000007,0.000298
1913,0.000005,0.000317
1914,0.000009,0.000317
1915,0.000007,0.000316
1916,0.000010,0.000324
1917,0.000006,0.000325
1918,0.000006,0.000334
1919,0.000009,0.000325
1920,0.000009,0.000306
1921,0.000006,0.000328
1922,0.000006,0.000338
1923,0.000007,0.000292
1924,0.000005,0.000306
1925,0.000010,0.000307
1926,0.000010,0.000306
1927,0.000009,0.000268
1928,0.000008,0.000281
1929,0.000009,0.000270
1930,0.000008,0.000265
1931,0.000004,0.000239
1932,0.000006,0.000265
1933,0.000003,0.000227
1934,0.000003,0.000228
1935,0.000003,0.000237
1936,0.000006,0.000216
1937,0.000005,0.000211
1938,0.000003,0.000192
1939,0.000004,0.000207
1940,0.000003,0.000222
1941,0.000005,0.000206
1942,0.000002,0.000194
1943,0.000004,0.000196
1944,0.000004,0.000170
1945,0.000006,0.000175
1946,0.000002,0.000164
1947,0.000003,0.000153
1948,0.000002,0.000155
1949,0.000003,0.000153
1950,0.000003,0.000145
1951,0.000002,0.000133
1952,0.000002,0.000137
1953,0.000002,0.000135
1954,0.000002,0.000124
1955,0.000002,0.000118
1956,0.000001,0.000109
1957,0.000002,0.000109
1958,0.000002,0.000111
1959,0.000002,0.000111
1960,0.000002,0.000118
1961,0.000004,0.000127
1962,0.000003,0.000118
1963,0.000003,0.000119
1964,0.000003,0.000131
1965,0.000002,0.000127
1966,0.000003,0.000130
1967,0.000004,0.000133
1968,0.000005,0.000140
1969,0.000005,0.000151
1970,0.000003,0.000177
1971,0.000002,0.000189
1972,0.000005,0.000199
1973,0.000006,0.000238
1974,0.000006,0.000214
1975,0.000005,0.000246
1976,0.000006,0.000242
1977,0.000006,0.000235
1978,0.000006,0.000202
1979,0.000005,0.000199
1980,0.000009,0.000218
1981,0.000011,0.000251
1982,0.000015,0.000283
1983,0.000011,0.000269
1984,0.000011,0.000269
1985,0.000013,0.000428
1986,0.000015,0.000434
1987,0.000016,0.000413
1988,0.000017,0.000453
1989,0.000016,0.000575
1990,0.000017,0.000683
1991,0.000014,0.000691
1992,0.000016,0.000663
1993,0.000016,0.000660
1994,0.000013,0.000673
1995,0.000016,0.000738
1996,0.000019,0.000783
1997,0.000022,0.000803
1998,0.000023,0.000830
1999,0.000021,0.000871
2000,0.000028,0.001215
2001,0.000022,0.001321
2002,0.000020,0.001398
2003,0.000017,0.001423
2004,0.000018,0.001485
2005,0.000020,0.001591
2006,0.000017,0.001718
2007,0.000017,0.001697
2008,0.000016,0.001900
2009,0.000012,0.001935
2010,0.000015,0.002054
2011,0.000010,0.002087
2012,0.000010,0.002021
2013,0.000011,0.002070
