year,Jerald (F),Jerald (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000010
1910,0.000000,0.000015
1911,0.000000,0.000016
1912,0.000000,0.000019
1913,0.000000,0.000019
1914,0.000000,0.000021
1915,0.000000,0.000019
1916,0.000000,0.000028
1917,0.000000,0.000030
1918,0.000000,0.000027
1919,0.000000,0.000027
1920,0.000000,0.000026
1921,0.000000,0.000033
1922,0.000000,0.000049
1923,0.000000,0.000034
1924,0.000000,0.000035
1925,0.000000,0.000047
1926,0.000000,0.000054
1927,0.000000,0.000053
1928,0.000000,0.000064
1929,0.000000,0.000082
1930,0.000000,0.000086
1931,0.000000,0.000117
1932,0.000003,0.000121
1933,0.000000,0.000132
1934,0.000000,0.000139
1935,0.000000,0.000141
1936,0.000002,0.000190
1937,0.000000,0.000193
1938,0.000000,0.000190
1939,0.000003,0.000206
1940,0.000000,0.000218
1941,0.000000,0.000229
1942,0.000003,0.000237
1943,0.000000,0.000221
1944,0.000003,0.000203
1945,0.000002,0.000199
1946,0.000000,0.000176
1947,0.000001,0.000169
1948,0.000000,0.000159
1949,0.000000,0.000168
1950,0.000002,0.000145
1951,0.000002,0.000146
1952,0.000001,0.000146
1953,0.000000,0.000140
1954,0.000000,0.000126
1955,0.000001,0.000133
1956,0.000000,0.000121
1957,0.000000,0.000119
1958,0.000000,0.000116
1959,0.000001,0.000099
1960,0.000001,0.000097
1961,0.000001,0.000108
1962,0.000000,0.000115
1963,0.000000,0.000107
1964,0.000000,0.000113
1965,0.000000,0.000111
1966,0.000000,0.000122
1967,0.000000,0.000110
1968,0.000001,0.000101
1969,0.000002,0.000119
1970,0.000000,0.000119
1971,0.000000,0.000093
1972,0.000000,0.000094
1973,0.000000,0.000092
1974,0.000000,0.000078
1975,0.000000,0.000069
1976,0.000002,0.000077
1977,0.000000,0.000069
1978,0.000000,0.000057
1979,0.000000,0.000059
1980,0.000000,0.000056
1981,0.000000,0.000058
1982,0.000000,0.000051
1983,0.000000,0.000049
1984,0.000000,0.000035
1985,0.000000,0.000041
1986,0.000000,0.000040
1987,0.000000,0.000036
1988,0.000000,0.000051
1989,0.000000,0.000043
1990,0.000000,0.000040
1991,0.000000,0.000038
1992,0.000001,0.000039
1993,0.000000,0.000031
1994,0.000000,0.000034
1995,0.000000,0.000026
1996,0.000000,0.000029
1997,0.000000,0.000025
1998,0.000000,0.000024
1999,0.000000,0.000021
2000,0.000000,0.000020
2001,0.000000,0.000026
2002,0.000000,0.000017
2003,0.000000,0.000021
2004,0.000000,0.000015
2005,0.000000,0.000016
2006,0.000000,0.000013
2007,0.000000,0.000018
2008,0.000000,0.000015
2009,0.000000,0.000014
2010,0.000000,0.000012
2011,0.000000,0.000010
2012,0.000000,0.000014
2013,0.000000,0.000010
2014,0.000000,0.000010
2015,0.000000,0.000009
2016,0.000000,0.000010
2017,0.000000,0.000011
2018,0.000000,0.000011
2019,0.000000,0.000010
2020,0.000000,0.000011
