year,Jeanett
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,5
1912,6
1913,8
1914,6
1915,11
1916,8
1917,8
1918,6
1919,0
1920,10
1921,11
1922,10
1923,13
1924,10
1925,10
1926,13
1927,11
1928,9
1929,13
1930,11
1931,9
1932,14
1933,12
1934,5
1935,12
1936,11
1937,13
1938,16
1939,10
1940,6
1941,13
1942,16
1943,9
1944,10
1945,9
1946,14
1947,11
1948,10
1949,16
1950,12
1951,14
1952,18
1953,9
1954,13
1955,7
1956,16
1957,17
1958,12
1959,26
1960,21
1961,19
1962,17
1963,18
1964,14
1965,31
1966,20
1967,17
1968,21
1969,30
1970,17
1971,16
1972,16
1973,10
1974,10
1975,12
1976,12
1977,10
1978,9
1979,16
1980,7
1981,6
1982,7
1983,6
1984,6
1985,9
1986,13
1987,14
1988,9
1989,16
1990,12
1991,15
1992,6
1993,5
1994,10
1995,7
1996,8
1997,8
1998,6
1999,6
2000,0
2001,5
2002,5
2003,0
2004,0
2005,0
2006,7
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
