year,Jacalyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,6
1938,0
1939,0
1940,5
1941,0
1942,9
1943,0
1944,5
1945,10
1946,84
1947,77
1948,64
1949,113
1950,189
1951,345
1952,406
1953,437
1954,482
1955,341
1956,140
1957,112
1958,77
1959,69
1960,70
1961,97
1962,100
1963,63
1964,74
1965,84
1966,82
1967,64
1968,56
1969,44
1970,45
1971,47
1972,34
1973,28
1974,45
1975,24
1976,16
1977,40
1978,33
1979,56
1980,40
1981,31
1982,45
1983,50
1984,49
1985,43
1986,43
1987,30
1988,49
1989,44
1990,34
1991,24
1992,42
1993,40
1994,37
1995,28
1996,35
1997,40
1998,26
1999,29
2000,45
2001,37
2002,32
2003,28
2004,26
2005,25
2006,30
2007,29
2008,19
2009,20
2010,12
2011,10
2012,5
