year,Jerome (F),Jerome (M)
1880,0.000000,0.000258
1881,0.000000,0.000197
1882,0.000000,0.000194
1883,0.000000,0.000166
1884,0.000000,0.000152
1885,0.000000,0.000220
1886,0.000000,0.000196
1887,0.000000,0.000137
1888,0.000000,0.000117
1889,0.000000,0.000166
1890,0.000000,0.000212
1891,0.000000,0.000143
1892,0.000000,0.000135
1893,0.000000,0.000154
1894,0.000000,0.000127
1895,0.000000,0.000165
1896,0.000000,0.000213
1897,0.000000,0.000173
1898,0.000000,0.000131
1899,0.000000,0.000189
1900,0.000000,0.000189
1901,0.000000,0.000197
1902,0.000000,0.000176
1903,0.000000,0.000244
1904,0.000000,0.000253
1905,0.000000,0.000205
1906,0.000000,0.000238
1907,0.000000,0.000213
1908,0.000000,0.000260
1909,0.000000,0.000276
1910,0.000000,0.000332
1911,0.000000,0.000329
1912,0.000007,0.000492
1913,0.000005,0.000487
1914,0.000006,0.000520
1915,0.000005,0.000495
1916,0.000004,0.000509
1917,0.000006,0.000535
1918,0.000004,0.000528
1919,0.000007,0.000526
1920,0.000005,0.000568
1921,0.000003,0.000603
1922,0.000005,0.000622
1923,0.000006,0.000646
1924,0.000008,0.000661
1925,0.000005,0.000670
1926,0.000007,0.000703
1927,0.000007,0.000727
1928,0.000005,0.000774
1929,0.000006,0.000759
1930,0.000006,0.000796
1931,0.000005,0.000831
1932,0.000005,0.000790
1933,0.000009,0.000846
1934,0.000005,0.000853
1935,0.000006,0.000962
1936,0.000004,0.000947
1937,0.000007,0.000928
1938,0.000004,0.000998
1939,0.000003,0.000976
1940,0.000005,0.000946
1941,0.000003,0.000885
1942,0.000005,0.000856
1943,0.000004,0.000816
1944,0.000003,0.000727
1945,0.000003,0.000694
1946,0.000004,0.000716
1947,0.000003,0.000746
1948,0.000005,0.000749
1949,0.000002,0.000795
1950,0.000002,0.000806
1951,0.000004,0.000812
1952,0.000006,0.000805
1953,0.000004,0.000801
1954,0.000004,0.000779
1955,0.000006,0.000769
1956,0.000004,0.000742
1957,0.000005,0.000714
1958,0.000005,0.000682
1959,0.000005,0.000645
1960,0.000006,0.000644
1961,0.000004,0.000635
1962,0.000006,0.000687
1963,0.000006,0.000673
1964,0.000003,0.000597
1965,0.000003,0.000590
1966,0.000003,0.000560
1967,0.000004,0.000529
1968,0.000005,0.000499
1969,0.000005,0.000481
1970,0.000006,0.000478
1971,0.000004,0.000498
1972,0.000004,0.000492
1973,0.000006,0.000480
1974,0.000005,0.000466
1975,0.000004,0.000476
1976,0.000007,0.000465
1977,0.000005,0.000430
1978,0.000003,0.000432
1979,0.000005,0.000409
1980,0.000003,0.000402
1981,0.000006,0.000394
1982,0.000004,0.000372
1983,0.000004,0.000356
1984,0.000003,0.000338
1985,0.000003,0.000339
1986,0.000003,0.000328
1987,0.000003,0.000327
1988,0.000003,0.000305
1989,0.000002,0.000269
1990,0.000000,0.000258
1991,0.000002,0.000235
1992,0.000000,0.000234
1993,0.000001,0.000213
1994,0.000000,0.000196
1995,0.000000,0.000175
1996,0.000000,0.000164
1997,0.000000,0.000148
1998,0.000000,0.000157
1999,0.000000,0.000139
2000,0.000000,0.000122
2001,0.000000,0.000126
2002,0.000000,0.000126
2003,0.000000,0.000108
2004,0.000000,0.000108
2005,0.000000,0.000112
2006,0.000000,0.000109
2007,0.000000,0.000104
2008,0.000000,0.000102
2009,0.000000,0.000094
2010,0.000000,0.000083
2011,0.000000,0.000083
2012,0.000000,0.000092
2013,0.000000,0.000081
