year,Janiece
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,8
1919,0
1920,6
1921,13
1922,8
1923,10
1924,7
1925,11
1926,12
1927,9
1928,17
1929,11
1930,9
1931,20
1932,19
1933,26
1934,28
1935,28
1936,29
1937,24
1938,21
1939,20
1940,20
1941,26
1942,18
1943,33
1944,24
1945,25
1946,27
1947,30
1948,35
1949,29
1950,30
1951,38
1952,35
1953,50
1954,46
1955,45
1956,43
1957,42
1958,41
1959,43
1960,48
1961,51
1962,33
1963,32
1964,39
1965,35
1966,30
1967,27
1968,18
1969,30
1970,22
1971,25
1972,20
1973,18
1974,19
1975,20
1976,23
1977,27
1978,27
1979,19
1980,30
1981,29
1982,42
1983,29
1984,51
1985,52
1986,37
1987,45
1988,48
1989,51
1990,57
1991,38
1992,47
1993,78
1994,45
1995,41
1996,47
1997,47
1998,28
1999,47
2000,63
2001,49
2002,46
2003,38
2004,46
2005,44
2006,48
2007,22
2008,47
2009,43
2010,31
2011,23
2012,26
