year,Jonelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,5
1924,0
1925,7
1926,6
1927,11
1928,6
1929,7
1930,7
1931,10
1932,9
1933,9
1934,14
1935,7
1936,14
1937,18
1938,17
1939,19
1940,12
1941,14
1942,16
1943,15
1944,17
1945,25
1946,23
1947,31
1948,19
1949,19
1950,17
1951,30
1952,31
1953,22
1954,28
1955,31
1956,44
1957,23
1958,31
1959,31
1960,27
1961,26
1962,25
1963,26
1964,28
1965,33
1966,38
1967,52
1968,34
1969,45
1970,37
1971,35
1972,52
1973,51
1974,50
1975,79
1976,75
1977,84
1978,81
1979,92
1980,97
1981,137
1982,116
1983,65
1984,63
1985,113
1986,87
1987,74
1988,57
1989,46
1990,48
1991,48
1992,45
1993,47
1994,44
1995,40
1996,28
1997,44
1998,26
1999,35
2000,40
2001,21
2002,23
2003,18
2004,21
2005,18
2006,13
2007,15
2008,13
2009,10
2010,9
2011,16
2012,13
