year,Jacqulin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,7
1928,6
1929,0
1930,0
1931,6
1932,8
1933,7
1934,6
1935,8
1936,0
1937,9
1938,7
1939,14
1940,7
1941,8
1942,9
1943,14
1944,5
1945,11
1946,9
1947,7
1948,11
1949,16
1950,17
1951,11
1952,13
1953,14
1954,18
1955,9
1956,13
1957,12
1958,13
1959,10
1960,13
1961,8
1962,10
1963,14
1964,18
1965,10
1966,15
1967,14
1968,9
1969,11
1970,9
1971,6
1972,5
1973,14
1974,0
1975,0
1976,6
1977,11
1978,7
1979,0
1980,16
1981,5
1982,6
1983,12
1984,9
1985,0
1986,6
1987,9
1988,0
1989,17
1990,16
1991,8
1992,10
1993,9
1994,11
1995,8
1996,6
1997,5
1998,7
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
