year,Jarvis (F),Jarvis (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000027
1883,0.000000,0.000060
1884,0.000000,0.000029
1885,0.000000,0.000000
1886,0.000000,0.000027
1887,0.000000,0.000000
1888,0.000000,0.000023
1889,0.000000,0.000021
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000021
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000020
1897,0.000000,0.000000
1898,0.000000,0.000018
1899,0.000000,0.000000
1900,0.000000,0.000018
1901,0.000000,0.000000
1902,0.000000,0.000018
1903,0.000000,0.000000
1904,0.000000,0.000012
1905,0.000000,0.000021
1906,0.000000,0.000000
1907,0.000000,0.000011
1908,0.000000,0.000000
1909,0.000000,0.000010
1910,0.000000,0.000020
1911,0.000000,0.000000
1912,0.000000,0.000012
1913,0.000000,0.000018
1914,0.000000,0.000013
1915,0.000000,0.000018
1916,0.000000,0.000018
1917,0.000000,0.000024
1918,0.000000,0.000022
1919,0.000000,0.000022
1920,0.000000,0.000021
1921,0.000000,0.000016
1922,0.000000,0.000024
1923,0.000000,0.000017
1924,0.000000,0.000020
1925,0.000000,0.000018
1926,0.000000,0.000017
1927,0.000000,0.000023
1928,0.000003,0.000015
1929,0.000000,0.000019
1930,0.000000,0.000020
1931,0.000000,0.000024
1932,0.000002,0.000020
1933,0.000000,0.000024
1934,0.000000,0.000020
1935,0.000000,0.000017
1936,0.000000,0.000015
1937,0.000000,0.000023
1938,0.000000,0.000025
1939,0.000000,0.000017
1940,0.000000,0.000015
1941,0.000000,0.000018
1942,0.000000,0.000016
1943,0.000000,0.000011
1944,0.000000,0.000016
1945,0.000000,0.000010
1946,0.000000,0.000008
1947,0.000000,0.000014
1948,0.000001,0.000013
1949,0.000000,0.000013
1950,0.000000,0.000015
1951,0.000000,0.000018
1952,0.000000,0.000018
1953,0.000000,0.000018
1954,0.000000,0.000019
1955,0.000002,0.000023
1956,0.000000,0.000022
1957,0.000000,0.000030
1958,0.000000,0.000029
1959,0.000000,0.000029
1960,0.000000,0.000027
1961,0.000000,0.000022
1962,0.000001,0.000023
1963,0.000000,0.000024
1964,0.000000,0.000023
1965,0.000000,0.000025
1966,0.000000,0.000020
1967,0.000000,0.000027
1968,0.000000,0.000031
1969,0.000000,0.000031
1970,0.000000,0.000040
1971,0.000000,0.000050
1972,0.000000,0.000050
1973,0.000003,0.000055
1974,0.000002,0.000062
1975,0.000002,0.000070
1976,0.000000,0.000062
1977,0.000000,0.000082
1978,0.000000,0.000083
1979,0.000002,0.000089
1980,0.000002,0.000099
1981,0.000001,0.000116
1982,0.000000,0.000110
1983,0.000000,0.000131
1984,0.000004,0.000134
1985,0.000002,0.000130
1986,0.000003,0.000150
1987,0.000001,0.000138
1988,0.000002,0.000162
1989,0.000002,0.000165
1990,0.000000,0.000129
1991,0.000000,0.000134
1992,0.000000,0.000109
1993,0.000000,0.000120
1994,0.000000,0.000130
1995,0.000000,0.000082
1996,0.000000,0.000083
1997,0.000000,0.000073
1998,0.000000,0.000066
1999,0.000000,0.000065
2000,0.000000,0.000057
2001,0.000000,0.000055
2002,0.000000,0.000044
2003,0.000000,0.000050
2004,0.000000,0.000045
2005,0.000000,0.000048
2006,0.000000,0.000046
2007,0.000000,0.000055
2008,0.000000,0.000044
2009,0.000000,0.000038
2010,0.000000,0.000041
2011,0.000000,0.000037
2012,0.000000,0.000039
2013,0.000000,0.000040
