year,Jannett
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,0
1908,5
1909,0
1910,0
1911,0
1912,0
1913,6
1914,0
1915,0
1916,0
1917,0
1918,5
1919,5
1920,0
1921,0
1922,6
1923,6
1924,7
1925,6
1926,5
1927,6
1928,0
1929,11
1930,0
1931,7
1932,6
1933,0
1934,6
1935,8
1936,7
1937,10
1938,12
1939,9
1940,11
1941,0
1942,16
1943,12
1944,18
1945,11
1946,12
1947,14
1948,15
1949,20
1950,16
1951,15
1952,19
1953,12
1954,22
1955,20
1956,22
1957,22
1958,13
1959,13
1960,18
1961,15
1962,12
1963,9
1964,18
1965,20
1966,7
1967,11
1968,17
1969,15
1970,9
1971,8
1972,11
1973,9
1974,8
1975,8
1976,13
1977,14
1978,10
1979,14
1980,9
1981,14
1982,13
1983,16
1984,6
1985,15
1986,17
1987,18
1988,16
1989,19
1990,15
1991,25
1992,9
1993,16
1994,12
1995,6
1996,10
1997,10
1998,9
1999,13
2000,11
2001,5
2002,10
2003,6
2004,8
2005,8
2006,7
2007,0
2008,5
2009,0
2010,0
2011,5
2012,5
