year,Isabel (F),Isabel (M)
1880,0.000402,0.000000
1881,0.000394,0.000000
1882,0.000325,0.000000
1883,0.000383,0.000000
1884,0.000419,0.000000
1885,0.000423,0.000000
1886,0.000513,0.000000
1887,0.000441,0.000000
1888,0.000481,0.000000
1889,0.000529,0.000000
1890,0.000531,0.000000
1891,0.000523,0.000000
1892,0.000473,0.000000
1893,0.000581,0.000000
1894,0.000712,0.000000
1895,0.000604,0.000000
1896,0.000649,0.000000
1897,0.000605,0.000000
1898,0.000661,0.000000
1899,0.000716,0.000000
1900,0.000635,0.000000
1901,0.000619,0.000000
1902,0.000662,0.000000
1903,0.000674,0.000000
1904,0.000672,0.000015
1905,0.000689,0.000000
1906,0.000740,0.000012
1907,0.000700,0.000000
1908,0.000718,0.000000
1909,0.000696,0.000000
1910,0.000659,0.000017
1911,0.000694,0.000016
1912,0.000563,0.000010
1913,0.000578,0.000005
1914,0.000527,0.000006
1915,0.000515,0.000007
1916,0.000517,0.000006
1917,0.000464,0.000008
1918,0.000479,0.000009
1919,0.000453,0.000011
1920,0.000438,0.000013
1921,0.000416,0.000014
1922,0.000388,0.000010
1923,0.000371,0.000007
1924,0.000383,0.000015
1925,0.000386,0.000016
1926,0.000325,0.000014
1927,0.000314,0.000017
1928,0.000288,0.000016
1929,0.000306,0.000016
1930,0.000269,0.000014
1931,0.000266,0.000016
1932,0.000244,0.000010
1933,0.000225,0.000010
1934,0.000208,0.000012
1935,0.000203,0.000013
1936,0.000181,0.000017
1937,0.000187,0.000010
1938,0.000158,0.000013
1939,0.000155,0.000008
1940,0.000142,0.000012
1941,0.000137,0.000011
1942,0.000122,0.000012
1943,0.000126,0.000008
1944,0.000115,0.000008
1945,0.000104,0.000008
1946,0.000110,0.000009
1947,0.000105,0.000006
1948,0.000108,0.000010
1949,0.000113,0.000007
1950,0.000103,0.000004
1951,0.000100,0.000005
1952,0.000111,0.000005
1953,0.000124,0.000005
1954,0.000092,0.000004
1955,0.000112,0.000004
1956,0.000098,0.000006
1957,0.000104,0.000003
1958,0.000086,0.000004
1959,0.000094,0.000005
1960,0.000094,0.000004
1961,0.000088,0.000005
1962,0.000098,0.000002
1963,0.000096,0.000003
1964,0.000100,0.000004
1965,0.000090,0.000004
1966,0.000101,0.000003
1967,0.000104,0.000004
1968,0.000113,0.000004
1969,0.000110,0.000003
1970,0.000116,0.000005
1971,0.000127,0.000006
1972,0.000114,0.000003
1973,0.000117,0.000002
1974,0.000125,0.000003
1975,0.000135,0.000007
1976,0.000135,0.000007
1977,0.000123,0.000005
1978,0.000115,0.000005
1979,0.000127,0.000004
1980,0.000143,0.000003
1981,0.000135,0.000004
1982,0.000139,0.000002
1983,0.000125,0.000004
1984,0.000120,0.000004
1985,0.000144,0.000005
1986,0.000136,0.000003
1987,0.000137,0.000006
1988,0.000151,0.000002
1989,0.000160,0.000005
1990,0.000199,0.000005
1991,0.000205,0.000004
1992,0.000274,0.000006
1993,0.000285,0.000005
1994,0.000305,0.000003
1995,0.000354,0.000003
1996,0.000403,0.000003
1997,0.000623,0.000002
1998,0.000769,0.000002
1999,0.000922,0.000004
2000,0.000912,0.000003
2001,0.000933,0.000002
2002,0.000977,0.000002
2003,0.001014,0.000003
2004,0.000953,0.000004
2005,0.000940,0.000002
2006,0.001014,0.000003
2007,0.000967,0.000001
2008,0.000888,0.000002
2009,0.000781,0.000000
2010,0.000720,0.000002
2011,0.000660,0.000000
2012,0.000652,0.000000
2013,0.000642,0.000002
