year,Irving (F),Irving (M)
1880,0.000000,0.000298
1881,0.000000,0.000311
1882,0.000000,0.000275
1883,0.000000,0.000212
1884,0.000000,0.000329
1885,0.000000,0.000324
1886,0.000000,0.000235
1887,0.000000,0.000222
1888,0.000000,0.000297
1889,0.000000,0.000225
1890,0.000000,0.000229
1891,0.000000,0.000262
1892,0.000000,0.000176
1893,0.000000,0.000292
1894,0.000000,0.000301
1895,0.000000,0.000313
1896,0.000000,0.000243
1897,0.000000,0.000282
1898,0.000000,0.000296
1899,0.000000,0.000280
1900,0.000000,0.000255
1901,0.000000,0.000231
1902,0.000000,0.000269
1903,0.000000,0.000328
1904,0.000000,0.000394
1905,0.000000,0.000351
1906,0.000000,0.000397
1907,0.000000,0.000421
1908,0.000000,0.000460
1909,0.000000,0.000395
1910,0.000000,0.000460
1911,0.000000,0.000669
1912,0.000000,0.000825
1913,0.000000,0.000758
1914,0.000000,0.000816
1915,0.000003,0.000756
1916,0.000000,0.000710
1917,0.000002,0.000733
1918,0.000002,0.000707
1919,0.000000,0.000682
1920,0.000003,0.000656
1921,0.000002,0.000606
1922,0.000003,0.000598
1923,0.000003,0.000601
1924,0.000002,0.000529
1925,0.000003,0.000502
1926,0.000002,0.000506
1927,0.000003,0.000439
1928,0.000004,0.000388
1929,0.000000,0.000344
1930,0.000004,0.000290
1931,0.000000,0.000277
1932,0.000000,0.000241
1933,0.000000,0.000204
1934,0.000000,0.000203
1935,0.000000,0.000168
1936,0.000000,0.000164
1937,0.000000,0.000159
1938,0.000000,0.000146
1939,0.000000,0.000146
1940,0.000000,0.000127
1941,0.000000,0.000130
1942,0.000000,0.000109
1943,0.000000,0.000115
1944,0.000000,0.000099
1945,0.000000,0.000100
1946,0.000000,0.000087
1947,0.000000,0.000089
1948,0.000000,0.000085
1949,0.000000,0.000080
1950,0.000000,0.000086
1951,0.000000,0.000078
1952,0.000000,0.000067
1953,0.000000,0.000063
1954,0.000000,0.000062
1955,0.000000,0.000061
1956,0.000000,0.000053
1957,0.000000,0.000053
1958,0.000000,0.000051
1959,0.000000,0.000042
1960,0.000000,0.000048
1961,0.000000,0.000048
1962,0.000000,0.000042
1963,0.000000,0.000040
1964,0.000000,0.000036
1965,0.000000,0.000031
1966,0.000000,0.000035
1967,0.000000,0.000039
1968,0.000000,0.000036
1969,0.000000,0.000033
1970,0.000000,0.000037
1971,0.000000,0.000030
1972,0.000000,0.000033
1973,0.000000,0.000029
1974,0.000000,0.000022
1975,0.000000,0.000027
1976,0.000000,0.000025
1977,0.000000,0.000023
1978,0.000000,0.000025
1979,0.000000,0.000024
1980,0.000000,0.000026
1981,0.000000,0.000025
1982,0.000000,0.000022
1983,0.000000,0.000024
1984,0.000000,0.000021
1985,0.000000,0.000020
1986,0.000000,0.000024
1987,0.000000,0.000030
1988,0.000000,0.000082
1989,0.000000,0.000058
1990,0.000000,0.000056
1991,0.000000,0.000087
1992,0.000000,0.000066
1993,0.000000,0.000050
1994,0.000000,0.000057
1995,0.000000,0.000045
1996,0.000000,0.000042
1997,0.000000,0.000036
1998,0.000000,0.000035
1999,0.000000,0.000038
2000,0.000000,0.000051
2001,0.000000,0.000043
2002,0.000000,0.000050
2003,0.000000,0.000056
2004,0.000000,0.000048
2005,0.000000,0.000046
2006,0.000000,0.000046
2007,0.000000,0.000045
2008,0.000000,0.000040
2009,0.000000,0.000036
2010,0.000000,0.000038
2011,0.000000,0.000033
2012,0.000000,0.000031
