year,Igor
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,5
1952,5
1953,10
1954,5
1955,5
1956,8
1957,6
1958,9
1959,8
1960,0
1961,0
1962,0
1963,6
1964,7
1965,5
1966,6
1967,8
1968,5
1969,0
1970,5
1971,9
1972,5
1973,5
1974,5
1975,0
1976,6
1977,5
1978,0
1979,0
1980,0
1981,8
1982,0
1983,0
1984,5
1985,0
1986,0
1987,0
1988,5
1989,13
1990,0
1991,10
1992,7
1993,11
1994,13
1995,17
1996,19
1997,17
1998,30
1999,17
2000,25
2001,24
2002,19
2003,17
2004,29
2005,26
2006,30
2007,30
2008,24
2009,10
2010,27
2011,15
2012,19
