year,Immanuel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,5
1919,0
1920,5
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,5
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,6
1968,0
1969,8
1970,6
1971,12
1972,10
1973,7
1974,6
1975,16
1976,6
1977,16
1978,15
1979,31
1980,28
1981,36
1982,29
1983,25
1984,28
1985,49
1986,42
1987,42
1988,36
1989,40
1990,49
1991,49
1992,52
1993,71
1994,63
1995,74
1996,94
1997,107
1998,124
1999,131
2000,135
2001,176
2002,161
2003,133
2004,170
2005,191
2006,184
2007,202
2008,227
2009,197
2010,177
2011,169
2012,207
