year,Ivy (F),Ivy (M)
1880,0.000164,0.000025
1881,0.000197,0.000073
1882,0.000208,0.000041
1883,0.000203,0.000032
1884,0.000193,0.000033
1885,0.000208,0.000000
1886,0.000239,0.000059
1887,0.000226,0.000040
1888,0.000240,0.000030
1889,0.000211,0.000035
1890,0.000219,0.000027
1891,0.000216,0.000031
1892,0.000227,0.000054
1893,0.000255,0.000037
1894,0.000245,0.000030
1895,0.000214,0.000051
1896,0.000218,0.000028
1897,0.000257,0.000043
1898,0.000223,0.000029
1899,0.000198,0.000018
1900,0.000169,0.000042
1901,0.000197,0.000040
1902,0.000197,0.000026
1903,0.000173,0.000024
1904,0.000173,0.000030
1905,0.000177,0.000021
1906,0.000149,0.000019
1907,0.000150,0.000028
1908,0.000137,0.000033
1909,0.000135,0.000029
1910,0.000122,0.000039
1911,0.000135,0.000017
1912,0.000111,0.000035
1913,0.000093,0.000024
1914,0.000090,0.000037
1915,0.000088,0.000032
1916,0.000097,0.000032
1917,0.000077,0.000030
1918,0.000073,0.000029
1919,0.000070,0.000025
1920,0.000062,0.000023
1921,0.000061,0.000028
1922,0.000062,0.000022
1923,0.000044,0.000020
1924,0.000052,0.000023
1925,0.000053,0.000030
1926,0.000053,0.000022
1927,0.000048,0.000024
1928,0.000039,0.000021
1929,0.000036,0.000022
1930,0.000042,0.000023
1931,0.000047,0.000022
1932,0.000038,0.000023
1933,0.000043,0.000016
1934,0.000037,0.000015
1935,0.000034,0.000021
1936,0.000034,0.000013
1937,0.000032,0.000014
1938,0.000033,0.000013
1939,0.000033,0.000015
1940,0.000029,0.000010
1941,0.000028,0.000016
1942,0.000026,0.000014
1943,0.000025,0.000012
1944,0.000023,0.000015
1945,0.000023,0.000014
1946,0.000019,0.000013
1947,0.000033,0.000010
1948,0.000036,0.000009
1949,0.000037,0.000009
1950,0.000045,0.000010
1951,0.000045,0.000013
1952,0.000052,0.000008
1953,0.000053,0.000012
1954,0.000049,0.000009
1955,0.000066,0.000009
1956,0.000078,0.000007
1957,0.000084,0.000008
1958,0.000081,0.000010
1959,0.000076,0.000010
1960,0.000066,0.000007
1961,0.000051,0.000006
1962,0.000051,0.000006
1963,0.000044,0.000008
1964,0.000046,0.000007
1965,0.000055,0.000006
1966,0.000044,0.000007
1967,0.000039,0.000004
1968,0.000057,0.000008
1969,0.000069,0.000008
1970,0.000071,0.000008
1971,0.000062,0.000006
1972,0.000086,0.000008
1973,0.000079,0.000008
1974,0.000087,0.000006
1975,0.000095,0.000005
1976,0.000068,0.000007
1977,0.000079,0.000006
1978,0.000084,0.000004
1979,0.000097,0.000007
1980,0.000082,0.000004
1981,0.000080,0.000005
1982,0.000084,0.000005
1983,0.000084,0.000004
1984,0.000074,0.000003
1985,0.000106,0.000006
1986,0.000104,0.000003
1987,0.000103,0.000005
1988,0.000082,0.000001
1989,0.000072,0.000004
1990,0.000067,0.000005
1991,0.000058,0.000003
1992,0.000074,0.000001
1993,0.000111,0.000003
1994,0.000129,0.000005
1995,0.000168,0.000004
1996,0.000177,0.000004
1997,0.000190,0.000005
1998,0.000198,0.000000
1999,0.000206,0.000003
2000,0.000233,0.000002
2001,0.000224,0.000002
2002,0.000193,0.000002
2003,0.000197,0.000003
2004,0.000210,0.000003
2005,0.000272,0.000003
2006,0.000249,0.000003
2007,0.000282,0.000001
2008,0.000286,0.000003
2009,0.000267,0.000000
2010,0.000294,0.000002
2011,0.000332,0.000002
2012,0.000464,0.000004
2013,0.000576,0.000004
