year,Idelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,5
1900,7
1901,0
1902,12
1903,10
1904,12
1905,8
1906,8
1907,8
1908,13
1909,8
1910,8
1911,17
1912,15
1913,21
1914,13
1915,30
1916,28
1917,21
1918,22
1919,21
1920,32
1921,36
1922,22
1923,16
1924,9
1925,19
1926,14
1927,17
1928,15
1929,14
1930,17
1931,16
1932,12
1933,11
1934,9
1935,0
1936,11
1937,0
1938,8
1939,10
1940,7
1941,6
1942,5
1943,9
1944,6
1945,5
1946,9
1947,7
1948,7
1949,10
1950,11
1951,7
1952,7
1953,6
1954,9
1955,7
1956,5
1957,7
1958,8
1959,5
1960,0
1961,0
1962,0
1963,6
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,5
1971,0
1972,0
1973,0
1974,5
1975,5
1976,0
1977,0
1978,6
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
