year,Isreal (F),Isreal (M)
1880,0.000000,0.000045
1881,0.000000,0.000000
1882,0.000000,0.000032
1883,0.000000,0.000028
1884,0.000000,0.000029
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000018
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000026
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000013
1899,0.000000,0.000018
1900,0.000000,0.000016
1901,0.000000,0.000000
1902,0.000000,0.000016
1903,0.000000,0.000000
1904,0.000000,0.000012
1905,0.000000,0.000000
1906,0.000000,0.000012
1907,0.000000,0.000015
1908,0.000000,0.000020
1909,0.000000,0.000010
1910,0.000000,0.000014
1911,0.000000,0.000012
1912,0.000000,0.000012
1913,0.000000,0.000015
1914,0.000000,0.000012
1915,0.000000,0.000011
1916,0.000000,0.000008
1917,0.000000,0.000014
1918,0.000000,0.000009
1919,0.000000,0.000009
1920,0.000000,0.000013
1921,0.000000,0.000009
1922,0.000000,0.000011
1923,0.000000,0.000010
1924,0.000000,0.000007
1925,0.000000,0.000008
1926,0.000000,0.000007
1927,0.000000,0.000010
1928,0.000000,0.000008
1929,0.000000,0.000009
1930,0.000000,0.000009
1931,0.000000,0.000006
1932,0.000000,0.000008
1933,0.000000,0.000012
1934,0.000000,0.000008
1935,0.000000,0.000007
1936,0.000000,0.000006
1937,0.000000,0.000009
1938,0.000000,0.000007
1939,0.000000,0.000014
1940,0.000000,0.000004
1941,0.000000,0.000006
1942,0.000000,0.000010
1943,0.000000,0.000006
1944,0.000000,0.000007
1945,0.000000,0.000008
1946,0.000000,0.000007
1947,0.000000,0.000007
1948,0.000000,0.000004
1949,0.000000,0.000006
1950,0.000000,0.000005
1951,0.000000,0.000004
1952,0.000000,0.000003
1953,0.000000,0.000004
1954,0.000000,0.000007
1955,0.000000,0.000006
1956,0.000000,0.000007
1957,0.000000,0.000006
1958,0.000000,0.000005
1959,0.000000,0.000006
1960,0.000000,0.000006
1961,0.000000,0.000005
1962,0.000000,0.000004
1963,0.000000,0.000005
1964,0.000000,0.000006
1965,0.000000,0.000006
1966,0.000000,0.000008
1967,0.000000,0.000006
1968,0.000000,0.000011
1969,0.000000,0.000008
1970,0.000000,0.000008
1971,0.000000,0.000016
1972,0.000000,0.000014
1973,0.000000,0.000019
1974,0.000000,0.000013
1975,0.000000,0.000018
1976,0.000000,0.000020
1977,0.000000,0.000013
1978,0.000000,0.000014
1979,0.000000,0.000013
1980,0.000000,0.000012
1981,0.000000,0.000014
1982,0.000000,0.000011
1983,0.000000,0.000010
1984,0.000000,0.000012
1985,0.000000,0.000013
1986,0.000000,0.000016
1987,0.000000,0.000015
1988,0.000000,0.000011
1989,0.000000,0.000011
1990,0.000000,0.000011
1991,0.000000,0.000015
1992,0.000001,0.000016
1993,0.000000,0.000012
1994,0.000000,0.000018
1995,0.000000,0.000018
1996,0.000002,0.000018
1997,0.000000,0.000021
1998,0.000000,0.000023
1999,0.000002,0.000020
2000,0.000003,0.000025
2001,0.000001,0.000021
2002,0.000001,0.000014
2003,0.000002,0.000021
2004,0.000000,0.000020
2005,0.000000,0.000028
2006,0.000000,0.000031
2007,0.000000,0.000029
2008,0.000000,0.000030
2009,0.000001,0.000024
2010,0.000000,0.000019
2011,0.000000,0.000021
2012,0.000000,0.000018
2013,0.000000,0.000015
