year,Idris
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,0
1916,0
1917,0
1918,0
1919,0
1920,7
1921,7
1922,6
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,7
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,21
1972,33
1973,29
1974,22
1975,18
1976,27
1977,43
1978,39
1979,48
1980,33
1981,44
1982,34
1983,25
1984,38
1985,27
1986,22
1987,20
1988,25
1989,20
1990,18
1991,25
1992,28
1993,37
1994,33
1995,38
1996,46
1997,47
1998,44
1999,29
2000,29
2001,40
2002,35
2003,49
2004,38
2005,51
2006,53
2007,68
2008,74
2009,106
2010,101
2011,114
2012,137
