year,Inga
1880,8
1881,15
1882,13
1883,13
1884,18
1885,28
1886,21
1887,28
1888,29
1889,43
1890,41
1891,35
1892,47
1893,43
1894,40
1895,35
1896,38
1897,36
1898,46
1899,39
1900,34
1901,29
1902,24
1903,32
1904,21
1905,25
1906,21
1907,28
1908,19
1909,15
1910,29
1911,21
1912,27
1913,27
1914,42
1915,39
1916,46
1917,31
1918,30
1919,38
1920,32
1921,28
1922,19
1923,23
1924,16
1925,20
1926,24
1927,18
1928,16
1929,17
1930,23
1931,16
1932,19
1933,11
1934,13
1935,10
1936,12
1937,8
1938,15
1939,8
1940,10
1941,8
1942,10
1943,13
1944,17
1945,8
1946,14
1947,19
1948,23
1949,21
1950,13
1951,11
1952,18
1953,23
1954,21
1955,27
1956,36
1957,35
1958,33
1959,44
1960,45
1961,47
1962,58
1963,59
1964,57
1965,54
1966,56
1967,57
1968,59
1969,115
1970,107
1971,88
1972,83
1973,70
1974,58
1975,41
1976,48
1977,37
1978,42
1979,61
1980,51
1981,41
1982,40
1983,34
1984,31
1985,25
1986,16
1987,24
1988,19
1989,22
1990,19
1991,22
1992,20
1993,18
1994,17
1995,12
1996,18
1997,9
1998,18
1999,18
2000,12
2001,15
2002,14
2003,16
2004,14
2005,14
2006,26
2007,17
2008,11
2009,18
2010,18
2011,21
2012,20
