year,Ivelisse
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,5
1953,0
1954,5
1955,5
1956,8
1957,19
1958,14
1959,21
1960,23
1961,27
1962,26
1963,30
1964,32
1965,21
1966,21
1967,12
1968,15
1969,31
1970,23
1971,28
1972,23
1973,22
1974,18
1975,26
1976,21
1977,33
1978,24
1979,22
1980,32
1981,25
1982,23
1983,28
1984,34
1985,37
1986,38
1987,48
1988,51
1989,29
1990,32
1991,39
1992,31
1993,23
1994,28
1995,26
1996,26
1997,27
1998,24
1999,19
2000,10
2001,24
2002,17
2003,18
2004,23
2005,24
2006,32
2007,30
2008,21
2009,26
2010,20
2011,31
2012,26
