year,Ilean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,0
1906,0
1907,6
1908,0
1909,6
1910,8
1911,0
1912,6
1913,7
1914,9
1915,11
1916,24
1917,18
1918,18
1919,29
1920,27
1921,31
1922,37
1923,20
1924,28
1925,33
1926,42
1927,30
1928,29
1929,27
1930,23
1931,34
1932,20
1933,17
1934,21
1935,12
1936,20
1937,14
1938,11
1939,14
1940,15
1941,11
1942,16
1943,14
1944,11
1945,9
1946,17
1947,10
1948,15
1949,17
1950,16
1951,9
1952,18
1953,9
1954,13
1955,15
1956,10
1957,10
1958,6
1959,11
1960,11
1961,11
1962,7
1963,6
1964,6
1965,0
1966,7
1967,5
1968,5
1969,0
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,5
2010,0
2011,0
2012,7
