year,Isobel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,10
1896,5
1897,6
1898,9
1899,7
1900,7
1901,6
1902,10
1903,13
1904,12
1905,17
1906,18
1907,12
1908,21
1909,13
1910,17
1911,19
1912,35
1913,29
1914,42
1915,38
1916,69
1917,42
1918,40
1919,35
1920,35
1921,58
1922,42
1923,47
1924,36
1925,49
1926,37
1927,43
1928,46
1929,29
1930,33
1931,17
1932,34
1933,28
1934,16
1935,18
1936,17
1937,12
1938,9
1939,6
1940,12
1941,10
1942,8
1943,8
1944,5
1945,6
1946,11
1947,13
1948,8
1949,0
1950,5
1951,6
1952,8
1953,0
1954,0
1955,0
1956,11
1957,0
1958,10
1959,6
1960,0
1961,0
1962,5
1963,0
1964,0
1965,7
1966,0
1967,0
1968,0
1969,0
1970,7
1971,0
1972,0
1973,0
1974,6
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,7
1989,0
1990,10
1991,10
1992,9
1993,17
1994,25
1995,27
1996,19
1997,44
1998,48
1999,61
2000,56
2001,57
2002,69
2003,67
2004,50
2005,52
2006,78
2007,110
2008,81
2009,95
2010,102
2011,82
2012,83
