year,Ignatius
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,6
1887,5
1888,7
1889,9
1890,9
1891,5
1892,8
1893,9
1894,9
1895,8
1896,11
1897,7
1898,14
1899,7
1900,11
1901,7
1902,8
1903,9
1904,10
1905,11
1906,18
1907,10
1908,8
1909,14
1910,20
1911,29
1912,43
1913,54
1914,59
1915,81
1916,78
1917,95
1918,88
1919,95
1920,97
1921,90
1922,92
1923,67
1924,90
1925,60
1926,68
1927,56
1928,67
1929,50
1930,71
1931,42
1932,43
1933,35
1934,29
1935,25
1936,25
1937,29
1938,25
1939,19
1940,25
1941,23
1942,44
1943,31
1944,23
1945,16
1946,18
1947,22
1948,22
1949,14
1950,16
1951,18
1952,17
1953,14
1954,20
1955,25
1956,32
1957,20
1958,21
1959,17
1960,18
1961,23
1962,14
1963,14
1964,21
1965,19
1966,11
1967,14
1968,13
1969,7
1970,8
1971,12
1972,8
1973,8
1974,10
1975,8
1976,6
1977,8
1978,6
1979,11
1980,0
1981,8
1982,5
1983,8
1984,5
1985,10
1986,5
1987,5
1988,5
1989,13
1990,9
1991,12
1992,9
1993,7
1994,8
1995,6
1996,6
1997,11
1998,9
1999,13
2000,7
2001,7
2002,23
2003,13
2004,15
2005,16
2006,23
2007,28
2008,33
2009,34
2010,35
2011,51
2012,38
