year,Isidore (F),Isidore (M)
1880,0.000000,0.000000
1881,0.000000,0.000031
1882,0.000000,0.000023
1883,0.000000,0.000000
1884,0.000000,0.000021
1885,0.000000,0.000000
1886,0.000000,0.000020
1887,0.000000,0.000024
1888,0.000000,0.000017
1889,0.000000,0.000024
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000024
1893,0.000000,0.000025
1894,0.000000,0.000024
1895,0.000000,0.000023
1896,0.000000,0.000028
1897,0.000000,0.000026
1898,0.000000,0.000018
1899,0.000000,0.000041
1900,0.000000,0.000033
1901,0.000000,0.000014
1902,0.000000,0.000023
1903,0.000000,0.000029
1904,0.000000,0.000040
1905,0.000000,0.000024
1906,0.000000,0.000040
1907,0.000000,0.000034
1908,0.000000,0.000065
1909,0.000000,0.000055
1910,0.000000,0.000073
1911,0.000000,0.000082
1912,0.000000,0.000102
1913,0.000000,0.000101
1914,0.000000,0.000110
1915,0.000000,0.000099
1916,0.000000,0.000093
1917,0.000000,0.000087
1918,0.000000,0.000079
1919,0.000000,0.000087
1920,0.000000,0.000057
1921,0.000000,0.000056
1922,0.000000,0.000056
1923,0.000000,0.000044
1924,0.000000,0.000040
1925,0.000000,0.000033
1926,0.000000,0.000027
1927,0.000000,0.000016
1928,0.000000,0.000025
1929,0.000000,0.000015
1930,0.000000,0.000018
1931,0.000000,0.000013
1932,0.000000,0.000006
1933,0.000000,0.000007
1934,0.000000,0.000008
1935,0.000000,0.000007
1936,0.000000,0.000006
1937,0.000000,0.000008
1938,0.000000,0.000005
1939,0.000000,0.000007
1940,0.000000,0.000003
1941,0.000000,0.000004
1942,0.000000,0.000003
1943,0.000000,0.000005
1944,0.000000,0.000004
1945,0.000000,0.000003
1946,0.000000,0.000003
1947,0.000000,0.000003
1948,0.000000,0.000003
1949,0.000000,0.000004
1950,0.000000,0.000003
1951,0.000000,0.000005
1952,0.000000,0.000003
1953,0.000000,0.000005
1954,0.000000,0.000004
1955,0.000000,0.000004
1956,0.000000,0.000003
1957,0.000000,0.000002
1958,0.000000,0.000003
1959,0.000000,0.000002
1960,0.000000,0.000004
1961,0.000000,0.000004
1962,0.000000,0.000005
1963,0.000000,0.000002
1964,0.000000,0.000002
1965,0.000000,0.000002
1966,0.000000,0.000000
1967,0.000000,0.000003
1968,0.000000,0.000002
1969,0.000000,0.000002
1970,0.000000,0.000002
1971,0.000000,0.000000
1972,0.000000,0.000002
1973,0.000000,0.000000
1974,0.000000,0.000000
1975,0.000000,0.000000
1976,0.000000,0.000002
1977,0.000000,0.000002
1978,0.000000,0.000002
1979,0.000000,0.000000
1980,0.000000,0.000000
1981,0.000000,0.000002
1982,0.000000,0.000000
1983,0.000000,0.000000
1984,0.000000,0.000000
1985,0.000000,0.000002
1986,0.000000,0.000000
1987,0.000000,0.000000
1988,0.000000,0.000001
1989,0.000000,0.000000
1990,0.000000,0.000002
1991,0.000000,0.000001
1992,0.000000,0.000002
1993,0.000000,0.000000
1994,0.000000,0.000000
1995,0.000000,0.000000
1996,0.000000,0.000001
1997,0.000000,0.000000
1998,0.000000,0.000000
1999,0.000000,0.000001
2000,0.000000,0.000002
2001,0.000000,0.000000
2002,0.000000,0.000003
2003,0.000000,0.000002
2004,0.000000,0.000002
2005,0.000000,0.000002
2006,0.000000,0.000001
2007,0.000000,0.000002
2008,0.000000,0.000002
2009,0.000000,0.000001
2010,0.000000,0.000002
2011,0.000000,0.000002
2012,0.000000,0.000001
2013,0.000000,0.000004
