year,Iva (F),Iva (M)
1880,0.000630,0.000000
1881,0.000633,0.000000
1882,0.000605,0.000000
1883,0.000784,0.000023
1884,0.000875,0.000029
1885,0.000951,0.000000
1886,0.000928,0.000020
1887,0.001023,0.000000
1888,0.001008,0.000000
1889,0.001111,0.000024
1890,0.001175,0.000017
1891,0.001189,0.000000
1892,0.001178,0.000000
1893,0.001181,0.000025
1894,0.001252,0.000000
1895,0.001239,0.000000
1896,0.001214,0.000000
1897,0.001309,0.000000
1898,0.001182,0.000021
1899,0.001273,0.000000
1900,0.001073,0.000018
1901,0.001235,0.000000
1902,0.001133,0.000013
1903,0.001044,0.000000
1904,0.001051,0.000015
1905,0.000995,0.000014
1906,0.000934,0.000000
1907,0.000862,0.000015
1908,0.000855,0.000010
1909,0.000784,0.000016
1910,0.000687,0.000014
1911,0.000616,0.000011
1912,0.000557,0.000005
1913,0.000507,0.000005
1914,0.000436,0.000007
1915,0.000479,0.000005
1916,0.000436,0.000008
1917,0.000426,0.000008
1918,0.000409,0.000008
1919,0.000408,0.000006
1920,0.000381,0.000007
1921,0.000336,0.000006
1922,0.000332,0.000007
1923,0.000330,0.000007
1924,0.000320,0.000005
1925,0.000314,0.000006
1926,0.000310,0.000005
1927,0.000302,0.000005
1928,0.000284,0.000008
1929,0.000296,0.000008
1930,0.000272,0.000006
1931,0.000249,0.000005
1932,0.000257,0.000004
1933,0.000267,0.000008
1934,0.000243,0.000002
1935,0.000219,0.000008
1936,0.000215,0.000000
1937,0.000192,0.000004
1938,0.000169,0.000005
1939,0.000179,0.000004
1940,0.000164,0.000004
1941,0.000127,0.000003
1942,0.000123,0.000002
1943,0.000101,0.000003
1944,0.000096,0.000003
1945,0.000095,0.000000
1946,0.000075,0.000000
1947,0.000074,0.000001
1948,0.000072,0.000000
1949,0.000067,0.000000
1950,0.000060,0.000002
1951,0.000058,0.000000
1952,0.000054,0.000002
1953,0.000053,0.000002
1954,0.000052,0.000002
1955,0.000048,0.000001
1956,0.000048,0.000001
1957,0.000043,0.000001
1958,0.000036,0.000001
1959,0.000034,0.000000
1960,0.000033,0.000000
1961,0.000036,0.000000
1962,0.000028,0.000001
1963,0.000026,0.000002
1964,0.000025,0.000000
1965,0.000024,0.000000
1966,0.000029,0.000000
1967,0.000022,0.000000
1968,0.000019,0.000000
1969,0.000016,0.000000
1970,0.000021,0.000000
1971,0.000022,0.000000
1972,0.000019,0.000000
1973,0.000019,0.000000
1974,0.000018,0.000000
1975,0.000020,0.000002
1976,0.000015,0.000000
1977,0.000018,0.000000
1978,0.000014,0.000000
1979,0.000014,0.000000
1980,0.000013,0.000000
1981,0.000010,0.000000
1982,0.000011,0.000000
1983,0.000011,0.000000
1984,0.000007,0.000000
1985,0.000008,0.000001
1986,0.000010,0.000000
1987,0.000011,0.000000
1988,0.000012,0.000000
1989,0.000010,0.000000
1990,0.000009,0.000000
1991,0.000011,0.000000
1992,0.000007,0.000000
1993,0.000008,0.000000
1994,0.000006,0.000000
1995,0.000006,0.000000
1996,0.000008,0.000000
1997,0.000008,0.000000
1998,0.000010,0.000000
1999,0.000007,0.000000
2000,0.000008,0.000000
2001,0.000009,0.000000
2002,0.000007,0.000000
2003,0.000009,0.000000
2004,0.000011,0.000000
2005,0.000014,0.000000
2006,0.000012,0.000000
2007,0.000010,0.000000
2008,0.000013,0.000000
2009,0.000019,0.000000
2010,0.000016,0.000000
2011,0.000016,0.000000
2012,0.000016,0.000000
