year,Isla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,7
1887,11
1888,0
1889,5
1890,10
1891,7
1892,6
1893,7
1894,6
1895,8
1896,7
1897,5
1898,12
1899,6
1900,13
1901,9
1902,9
1903,6
1904,9
1905,16
1906,11
1907,12
1908,18
1909,9
1910,14
1911,11
1912,16
1913,22
1914,25
1915,22
1916,35
1917,34
1918,34
1919,31
1920,23
1921,26
1922,41
1923,34
1924,22
1925,25
1926,27
1927,20
1928,26
1929,25
1930,23
1931,20
1932,21
1933,21
1934,12
1935,19
1936,24
1937,15
1938,12
1939,15
1940,10
1941,17
1942,7
1943,9
1944,14
1945,8
1946,5
1947,8
1948,10
1949,7
1950,9
1951,9
1952,8
1953,7
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,5
1963,5
1964,5
1965,5
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,5
1977,6
1978,10
1979,5
1980,0
1981,5
1982,6
1983,5
1984,0
1985,11
1986,5
1987,8
1988,8
1989,7
1990,9
1991,10
1992,7
1993,7
1994,15
1995,16
1996,13
1997,22
1998,25
1999,18
2000,37
2001,24
2002,29
2003,38
2004,35
2005,54
2006,92
2007,178
2008,493
2009,945
2010,1098
2011,1207
2012,1382
