year,Ilda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,7
1895,6
1896,10
1897,6
1898,5
1899,5
1900,8
1901,0
1902,0
1903,0
1904,8
1905,19
1906,9
1907,10
1908,12
1909,7
1910,11
1911,9
1912,0
1913,15
1914,11
1915,19
1916,25
1917,27
1918,20
1919,17
1920,21
1921,34
1922,17
1923,20
1924,26
1925,26
1926,13
1927,23
1928,17
1929,19
1930,17
1931,20
1932,8
1933,7
1934,14
1935,13
1936,15
1937,0
1938,5
1939,14
1940,8
1941,10
1942,5
1943,5
1944,8
1945,0
1946,7
1947,6
1948,0
1949,7
1950,7
1951,12
1952,9
1953,14
1954,7
1955,10
1956,16
1957,9
1958,8
1959,10
1960,12
1961,15
1962,16
1963,13
1964,18
1965,11
1966,8
1967,15
1968,18
1969,14
1970,16
1971,15
1972,14
1973,20
1974,16
1975,14
1976,18
1977,20
1978,18
1979,23
1980,26
1981,15
1982,19
1983,17
1984,11
1985,15
1986,13
1987,9
1988,14
1989,11
1990,13
1991,12
1992,12
1993,15
1994,17
1995,11
1996,10
1997,7
1998,14
1999,13
2000,11
2001,15
2002,11
2003,6
2004,7
2005,11
2006,14
2007,14
2008,14
2009,9
2010,8
2011,5
2012,6
