year,Ivan (F),Ivan (M)
1880,0.000000,0.000139
1881,0.000000,0.000093
1882,0.000000,0.000113
1883,0.000000,0.000134
1884,0.000000,0.000111
1885,0.000000,0.000108
1886,0.000000,0.000133
1887,0.000000,0.000105
1888,0.000000,0.000107
1889,0.000000,0.000163
1890,0.000000,0.000126
1891,0.000000,0.000147
1892,0.000000,0.000161
1893,0.000000,0.000154
1894,0.000000,0.000168
1895,0.000000,0.000140
1896,0.000000,0.000201
1897,0.000000,0.000202
1898,0.000000,0.000210
1899,0.000000,0.000174
1900,0.000000,0.000200
1901,0.000000,0.000174
1902,0.000000,0.000184
1903,0.000000,0.000184
1904,0.000000,0.000181
1905,0.000000,0.000196
1906,0.000000,0.000187
1907,0.000000,0.000206
1908,0.000000,0.000194
1909,0.000000,0.000217
1910,0.000000,0.000185
1911,0.000000,0.000213
1912,0.000000,0.000343
1913,0.000000,0.000278
1914,0.000004,0.000310
1915,0.000003,0.000361
1916,0.000003,0.000374
1917,0.000004,0.000377
1918,0.000005,0.000345
1919,0.000000,0.000333
1920,0.000000,0.000349
1921,0.000004,0.000351
1922,0.000003,0.000327
1923,0.000000,0.000344
1924,0.000004,0.000329
1925,0.000002,0.000324
1926,0.000003,0.000333
1927,0.000002,0.000329
1928,0.000006,0.000335
1929,0.000003,0.000296
1930,0.000004,0.000301
1931,0.000000,0.000307
1932,0.000000,0.000298
1933,0.000000,0.000267
1934,0.000000,0.000295
1935,0.000000,0.000281
1936,0.000000,0.000246
1937,0.000004,0.000257
1938,0.000000,0.000238
1939,0.000002,0.000235
1940,0.000002,0.000235
1941,0.000000,0.000204
1942,0.000000,0.000178
1943,0.000000,0.000194
1944,0.000000,0.000168
1945,0.000000,0.000165
1946,0.000000,0.000149
1947,0.000000,0.000144
1948,0.000000,0.000135
1949,0.000001,0.000131
1950,0.000000,0.000134
1951,0.000001,0.000112
1952,0.000000,0.000131
1953,0.000000,0.000119
1954,0.000000,0.000125
1955,0.000002,0.000140
1956,0.000000,0.000152
1957,0.000000,0.000137
1958,0.000001,0.000149
1959,0.000000,0.000147
1960,0.000002,0.000144
1961,0.000001,0.000162
1962,0.000001,0.000167
1963,0.000000,0.000166
1964,0.000002,0.000156
1965,0.000000,0.000176
1966,0.000002,0.000179
1967,0.000000,0.000180
1968,0.000001,0.000189
1969,0.000003,0.000184
1970,0.000001,0.000188
1971,0.000003,0.000202
1972,0.000002,0.000220
1973,0.000000,0.000189
1974,0.000002,0.000217
1975,0.000003,0.000240
1976,0.000002,0.000218
1977,0.000002,0.000251
1978,0.000002,0.000232
1979,0.000002,0.000241
1980,0.000003,0.000263
1981,0.000002,0.000289
1982,0.000003,0.000310
1983,0.000003,0.000300
1984,0.000002,0.000288
1985,0.000004,0.000294
1986,0.000005,0.000339
1987,0.000004,0.000313
1988,0.000003,0.000360
1989,0.000003,0.000398
1990,0.000005,0.000442
1991,0.000005,0.000478
1992,0.000005,0.000555
1993,0.000005,0.000543
1994,0.000004,0.000499
1995,0.000004,0.000532
1996,0.000003,0.000573
1997,0.000002,0.000595
1998,0.000002,0.000609
1999,0.000004,0.000655
2000,0.000003,0.000669
2001,0.000004,0.000754
2002,0.000002,0.000752
2003,0.000004,0.000826
2004,0.000004,0.000906
2005,0.000003,0.000842
2006,0.000001,0.000837
2007,0.000000,0.000819
2008,0.000001,0.000791
2009,0.000002,0.000783
2010,0.000002,0.000751
2011,0.000000,0.000852
2012,0.000001,0.000885
2013,0.000002,0.000789
