year,Ismael (F),Ismael (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000013
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000011
1912,0.000000,0.000008
1913,0.000000,0.000013
1914,0.000000,0.000011
1915,0.000000,0.000003
1916,0.000000,0.000005
1917,0.000000,0.000010
1918,0.000000,0.000006
1919,0.000000,0.000009
1920,0.000000,0.000010
1921,0.000000,0.000012
1922,0.000000,0.000012
1923,0.000000,0.000016
1924,0.000000,0.000012
1925,0.000000,0.000018
1926,0.000000,0.000019
1927,0.000000,0.000019
1928,0.000000,0.000023
1929,0.000000,0.000026
1930,0.000000,0.000034
1931,0.000000,0.000036
1932,0.000000,0.000027
1933,0.000000,0.000034
1934,0.000000,0.000019
1935,0.000000,0.000025
1936,0.000000,0.000019
1937,0.000000,0.000023
1938,0.000000,0.000026
1939,0.000000,0.000025
1940,0.000000,0.000017
1941,0.000000,0.000024
1942,0.000000,0.000024
1943,0.000000,0.000017
1944,0.000000,0.000029
1945,0.000000,0.000030
1946,0.000000,0.000030
1947,0.000000,0.000029
1948,0.000000,0.000034
1949,0.000000,0.000037
1950,0.000000,0.000037
1951,0.000000,0.000037
1952,0.000000,0.000038
1953,0.000000,0.000042
1954,0.000000,0.000041
1955,0.000000,0.000040
1956,0.000000,0.000050
1957,0.000000,0.000045
1958,0.000000,0.000046
1959,0.000000,0.000047
1960,0.000000,0.000051
1961,0.000000,0.000043
1962,0.000000,0.000058
1963,0.000000,0.000054
1964,0.000000,0.000056
1965,0.000000,0.000055
1966,0.000000,0.000067
1967,0.000000,0.000065
1968,0.000000,0.000075
1969,0.000000,0.000071
1970,0.000000,0.000083
1971,0.000000,0.000084
1972,0.000000,0.000089
1973,0.000000,0.000092
1974,0.000000,0.000120
1975,0.000000,0.000101
1976,0.000002,0.000115
1977,0.000000,0.000103
1978,0.000002,0.000106
1979,0.000000,0.000126
1980,0.000000,0.000112
1981,0.000000,0.000117
1982,0.000002,0.000124
1983,0.000002,0.000122
1984,0.000000,0.000109
1985,0.000000,0.000116
1986,0.000000,0.000125
1987,0.000000,0.000120
1988,0.000000,0.000128
1989,0.000002,0.000118
1990,0.000000,0.000141
1991,0.000000,0.000158
1992,0.000000,0.000156
1993,0.000002,0.000169
1994,0.000002,0.000173
1995,0.000000,0.000196
1996,0.000002,0.000212
1997,0.000000,0.000182
1998,0.000000,0.000202
1999,0.000002,0.000213
2000,0.000001,0.000213
2001,0.000000,0.000232
2002,0.000000,0.000217
2003,0.000000,0.000229
2004,0.000002,0.000237
2005,0.000001,0.000234
2006,0.000000,0.000250
2007,0.000000,0.000245
2008,0.000000,0.000238
2009,0.000000,0.000226
2010,0.000000,0.000223
2011,0.000000,0.000216
2012,0.000000,0.000213
2013,0.000000,0.000205
