year,Irine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,7
1897,0
1898,0
1899,8
1900,13
1901,7
1902,10
1903,11
1904,14
1905,23
1906,15
1907,15
1908,12
1909,11
1910,32
1911,23
1912,14
1913,26
1914,37
1915,38
1916,44
1917,42
1918,44
1919,56
1920,46
1921,49
1922,66
1923,51
1924,40
1925,60
1926,46
1927,45
1928,43
1929,31
1930,42
1931,38
1932,28
1933,27
1934,28
1935,28
1936,17
1937,23
1938,23
1939,20
1940,14
1941,15
1942,22
1943,16
1944,8
1945,9
1946,18
1947,15
1948,12
1949,10
1950,14
1951,19
1952,10
1953,16
1954,8
1955,8
1956,5
1957,0
1958,8
1959,7
1960,0
1961,9
1962,5
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,0
1970,5
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
