year,Isaiah (F),Isaiah (M)
1880,0.000000,0.000199
1881,0.000000,0.000166
1882,0.000000,0.000167
1883,0.000000,0.000138
1884,0.000000,0.000094
1885,0.000000,0.000120
1886,0.000000,0.000137
1887,0.000000,0.000137
1888,0.000000,0.000104
1889,0.000000,0.000045
1890,0.000000,0.000136
1891,0.000000,0.000077
1892,0.000000,0.000072
1893,0.000000,0.000058
1894,0.000000,0.000106
1895,0.000000,0.000068
1896,0.000000,0.000062
1897,0.000000,0.000069
1898,0.000000,0.000060
1899,0.000000,0.000085
1900,0.000000,0.000071
1901,0.000000,0.000049
1902,0.000000,0.000065
1903,0.000000,0.000060
1904,0.000000,0.000062
1905,0.000000,0.000052
1906,0.000000,0.000054
1907,0.000000,0.000058
1908,0.000000,0.000068
1909,0.000000,0.000070
1910,0.000000,0.000066
1911,0.000000,0.000051
1912,0.000000,0.000060
1913,0.000000,0.000056
1914,0.000000,0.000048
1915,0.000000,0.000050
1916,0.000000,0.000057
1917,0.000000,0.000054
1918,0.000000,0.000061
1919,0.000000,0.000066
1920,0.000000,0.000054
1921,0.000000,0.000046
1922,0.000000,0.000065
1923,0.000000,0.000053
1924,0.000000,0.000058
1925,0.000000,0.000054
1926,0.000000,0.000054
1927,0.000000,0.000050
1928,0.000000,0.000053
1929,0.000000,0.000062
1930,0.000000,0.000054
1931,0.000000,0.000049
1932,0.000000,0.000052
1933,0.000000,0.000053
1934,0.000000,0.000045
1935,0.000000,0.000046
1936,0.000000,0.000051
1937,0.000000,0.000054
1938,0.000000,0.000049
1939,0.000000,0.000038
1940,0.000000,0.000049
1941,0.000000,0.000047
1942,0.000000,0.000037
1943,0.000000,0.000039
1944,0.000000,0.000035
1945,0.000000,0.000044
1946,0.000000,0.000039
1947,0.000000,0.000037
1948,0.000000,0.000041
1949,0.000000,0.000041
1950,0.000000,0.000039
1951,0.000000,0.000036
1952,0.000000,0.000035
1953,0.000000,0.000030
1954,0.000000,0.000034
1955,0.000000,0.000030
1956,0.000000,0.000023
1957,0.000000,0.000029
1958,0.000000,0.000022
1959,0.000000,0.000024
1960,0.000000,0.000024
1961,0.000000,0.000022
1962,0.000000,0.000023
1963,0.000000,0.000016
1964,0.000000,0.000017
1965,0.000000,0.000019
1966,0.000000,0.000020
1967,0.000000,0.000016
1968,0.000000,0.000019
1969,0.000000,0.000017
1970,0.000000,0.000014
1971,0.000000,0.000025
1972,0.000000,0.000026
1973,0.000000,0.000029
1974,0.000000,0.000036
1975,0.000000,0.000045
1976,0.000002,0.000066
1977,0.000000,0.000080
1978,0.000000,0.000089
1979,0.000000,0.000089
1980,0.000000,0.000103
1981,0.000002,0.000121
1982,0.000002,0.000153
1983,0.000002,0.000160
1984,0.000000,0.000174
1985,0.000002,0.000176
1986,0.000002,0.000174
1987,0.000002,0.000227
1988,0.000002,0.000265
1989,0.000002,0.000310
1990,0.000002,0.000376
1991,0.000003,0.000383
1992,0.000003,0.000377
1993,0.000003,0.000397
1994,0.000002,0.000503
1995,0.000003,0.000949
1996,0.000007,0.001460
1997,0.000009,0.001657
1998,0.000008,0.001764
1999,0.000006,0.002031
2000,0.000006,0.002125
2001,0.000005,0.002294
2002,0.000006,0.002398
2003,0.000007,0.002339
2004,0.000015,0.002423
2005,0.000006,0.002477
2006,0.000006,0.002642
2007,0.000005,0.002531
2008,0.000008,0.002458
2009,0.000005,0.002418
2010,0.000003,0.002318
2011,0.000006,0.002327
2012,0.000003,0.002228
2013,0.000003,0.002149
