year,Iris (F),Iris (M)
1880,0.000055,0.000000
1881,0.000042,0.000000
1882,0.000023,0.000000
1883,0.000032,0.000000
1884,0.000058,0.000000
1885,0.000062,0.000000
1886,0.000047,0.000000
1887,0.000040,0.000000
1888,0.000057,0.000000
1889,0.000069,0.000000
1890,0.000063,0.000000
1891,0.000087,0.000000
1892,0.000087,0.000000
1893,0.000086,0.000000
1894,0.000083,0.000000
1895,0.000125,0.000000
1896,0.000137,0.000000
1897,0.000161,0.000000
1898,0.000136,0.000000
1899,0.000130,0.000000
1900,0.000138,0.000000
1901,0.000133,0.000000
1902,0.000134,0.000000
1903,0.000171,0.000000
1904,0.000208,0.000000
1905,0.000236,0.000000
1906,0.000287,0.000000
1907,0.000292,0.000011
1908,0.000268,0.000000
1909,0.000270,0.000000
1910,0.000242,0.000000
1911,0.000269,0.000000
1912,0.000223,0.000005
1913,0.000273,0.000005
1914,0.000300,0.000008
1915,0.000307,0.000007
1916,0.000298,0.000005
1917,0.000307,0.000005
1918,0.000302,0.000002
1919,0.000321,0.000006
1920,0.000280,0.000006
1921,0.000300,0.000005
1922,0.000285,0.000005
1923,0.000380,0.000007
1924,0.000372,0.000004
1925,0.000406,0.000004
1926,0.000420,0.000002
1927,0.000440,0.000002
1928,0.000447,0.000007
1929,0.000447,0.000007
1930,0.000422,0.000007
1931,0.000425,0.000008
1932,0.000403,0.000008
1933,0.000383,0.000004
1934,0.000396,0.000009
1935,0.000391,0.000004
1936,0.000379,0.000005
1937,0.000366,0.000003
1938,0.000330,0.000002
1939,0.000340,0.000000
1940,0.000326,0.000004
1941,0.000287,0.000003
1942,0.000283,0.000002
1943,0.000252,0.000002
1944,0.000267,0.000003
1945,0.000243,0.000000
1946,0.000249,0.000002
1947,0.000240,0.000002
1948,0.000271,0.000002
1949,0.000264,0.000003
1950,0.000281,0.000003
1951,0.000242,0.000002
1952,0.000242,0.000003
1953,0.000239,0.000002
1954,0.000206,0.000002
1955,0.000221,0.000001
1956,0.000237,0.000003
1957,0.000214,0.000003
1958,0.000192,0.000000
1959,0.000185,0.000000
1960,0.000187,0.000000
1961,0.000171,0.000001
1962,0.000164,0.000002
1963,0.000140,0.000002
1964,0.000137,0.000002
1965,0.000140,0.000002
1966,0.000125,0.000000
1967,0.000128,0.000002
1968,0.000173,0.000002
1969,0.000174,0.000002
1970,0.000179,0.000002
1971,0.000157,0.000000
1972,0.000139,0.000000
1973,0.000170,0.000000
1974,0.000129,0.000000
1975,0.000137,0.000002
1976,0.000142,0.000000
1977,0.000118,0.000000
1978,0.000141,0.000002
1979,0.000148,0.000002
1980,0.000146,0.000001
1981,0.000141,0.000003
1982,0.000134,0.000000
1983,0.000112,0.000001
1984,0.000135,0.000000
1985,0.000131,0.000003
1986,0.000137,0.000002
1987,0.000120,0.000002
1988,0.000132,0.000002
1989,0.000141,0.000002
1990,0.000154,0.000002
1991,0.000164,0.000002
1992,0.000147,0.000002
1993,0.000143,0.000000
1994,0.000140,0.000002
1995,0.000134,0.000002
1996,0.000124,0.000000
1997,0.000133,0.000001
1998,0.000155,0.000000
1999,0.000182,0.000002
2000,0.000181,0.000000
2001,0.000196,0.000000
2002,0.000207,0.000000
2003,0.000207,0.000000
2004,0.000218,0.000002
2005,0.000228,0.000000
2006,0.000223,0.000001
2007,0.000267,0.000000
2008,0.000247,0.000000
2009,0.000271,0.000000
2010,0.000273,0.000000
2011,0.000288,0.000001
2012,0.000310,0.000001
2013,0.000343,0.000000
2014,0.000358,0.000000
2015,0.000407,0.000002
2016,0.000477,0.000000
2017,0.000556,0.000002
2018,0.000606,0.000002
2019,0.000632,0.000002
2020,0.000653,0.000004
