year,Ishmael
1880,6
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,7
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,0
1901,6
1902,0
1903,0
1904,6
1905,0
1906,0
1907,5
1908,0
1909,0
1910,9
1911,8
1912,31
1913,23
1914,36
1915,38
1916,49
1917,43
1918,28
1919,31
1920,37
1921,36
1922,38
1923,35
1924,25
1925,28
1926,46
1927,29
1928,27
1929,20
1930,26
1931,20
1932,25
1933,24
1934,26
1935,22
1936,23
1937,22
1938,18
1939,17
1940,18
1941,10
1942,20
1943,17
1944,8
1945,12
1946,15
1947,13
1948,13
1949,20
1950,22
1951,14
1952,22
1953,15
1954,19
1955,15
1956,12
1957,15
1958,13
1959,17
1960,9
1961,22
1962,14
1963,14
1964,19
1965,12
1966,13
1967,14
1968,19
1969,19
1970,18
1971,29
1972,22
1973,34
1974,47
1975,42
1976,33
1977,47
1978,43
1979,57
1980,55
1981,60
1982,56
1983,60
1984,59
1985,59
1986,50
1987,44
1988,37
1989,58
1990,86
1991,97
1992,112
1993,117
1994,122
1995,126
1996,141
1997,152
1998,146
1999,133
2000,145
2001,142
2002,118
2003,106
2004,124
2005,124
2006,113
2007,115
2008,100
2009,117
2010,111
2011,132
2012,126
