year,Icie
1880,0
1881,7
1882,0
1883,6
1884,11
1885,12
1886,6
1887,13
1888,17
1889,20
1890,14
1891,19
1892,23
1893,24
1894,19
1895,29
1896,28
1897,33
1898,21
1899,23
1900,34
1901,18
1902,30
1903,22
1904,21
1905,34
1906,21
1907,13
1908,25
1909,25
1910,32
1911,26
1912,30
1913,31
1914,26
1915,42
1916,33
1917,38
1918,29
1919,34
1920,32
1921,21
1922,30
1923,33
1924,29
1925,18
1926,17
1927,31
1928,12
1929,24
1930,14
1931,12
1932,13
1933,13
1934,16
1935,8
1936,14
1937,8
1938,6
1939,12
1940,10
1941,7
1942,7
1943,7
1944,9
1945,5
1946,5
1947,6
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,6
1955,7
1956,0
1957,0
1958,0
1959,0
1960,5
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,6
1978,0
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,7
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,5
2011,0
2012,0
