year,Ivah
1880,6
1881,6
1882,11
1883,8
1884,11
1885,10
1886,7
1887,14
1888,15
1889,13
1890,17
1891,15
1892,18
1893,20
1894,15
1895,28
1896,15
1897,13
1898,18
1899,15
1900,13
1901,18
1902,8
1903,13
1904,12
1905,12
1906,11
1907,9
1908,10
1909,16
1910,16
1911,16
1912,10
1913,11
1914,18
1915,22
1916,22
1917,18
1918,23
1919,18
1920,24
1921,26
1922,13
1923,16
1924,13
1925,10
1926,12
1927,10
1928,5
1929,12
1930,10
1931,11
1932,8
1933,7
1934,14
1935,0
1936,5
1937,8
1938,7
1939,0
1940,0
1941,0
1942,0
1943,7
1944,5
1945,0
1946,0
1947,9
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,7
