year,Izola
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,6
1898,0
1899,7
1900,5
1901,9
1902,6
1903,0
1904,11
1905,7
1906,6
1907,12
1908,24
1909,14
1910,16
1911,24
1912,26
1913,22
1914,25
1915,30
1916,36
1917,32
1918,30
1919,36
1920,37
1921,39
1922,44
1923,59
1924,36
1925,22
1926,28
1927,30
1928,25
1929,24
1930,20
1931,16
1932,21
1933,16
1934,9
1935,18
1936,14
1937,14
1938,19
1939,12
1940,15
1941,14
1942,10
1943,11
1944,11
1945,15
1946,17
1947,11
1948,10
1949,7
1950,6
1951,0
1952,13
1953,11
1954,11
1955,11
1956,7
1957,5
1958,6
1959,0
1960,10
1961,0
1962,0
1963,6
1964,0
1965,0
1966,0
1967,0
1968,0
1969,5
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,5
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
