year,Isadore (F),Isadore (M)
1880,0.000000,0.000045
1881,0.000000,0.000042
1882,0.000000,0.000023
1883,0.000000,0.000041
1884,0.000000,0.000033
1885,0.000021,0.000042
1886,0.000000,0.000039
1887,0.000000,0.000049
1888,0.000000,0.000040
1889,0.000021,0.000035
1890,0.000000,0.000046
1891,0.000017,0.000045
1892,0.000000,0.000051
1893,0.000000,0.000071
1894,0.000015,0.000056
1895,0.000000,0.000054
1896,0.000022,0.000070
1897,0.000000,0.000043
1898,0.000016,0.000037
1899,0.000000,0.000044
1900,0.000000,0.000053
1901,0.000000,0.000067
1902,0.000013,0.000062
1903,0.000000,0.000081
1904,0.000012,0.000077
1905,0.000000,0.000050
1906,0.000019,0.000114
1907,0.000000,0.000105
1908,0.000000,0.000106
1909,0.000016,0.000090
1910,0.000000,0.000091
1911,0.000009,0.000135
1912,0.000009,0.000150
1913,0.000004,0.000176
1914,0.000000,0.000171
1915,0.000007,0.000145
1916,0.000006,0.000141
1917,0.000007,0.000121
1918,0.000003,0.000112
1919,0.000000,0.000107
1920,0.000000,0.000088
1921,0.000000,0.000091
1922,0.000000,0.000080
1923,0.000002,0.000070
1924,0.000000,0.000065
1925,0.000004,0.000060
1926,0.000000,0.000044
1927,0.000000,0.000038
1928,0.000003,0.000029
1929,0.000000,0.000027
1930,0.000000,0.000027
1931,0.000000,0.000030
1932,0.000000,0.000021
1933,0.000000,0.000021
1934,0.000000,0.000013
1935,0.000000,0.000027
1936,0.000000,0.000020
1937,0.000000,0.000016
1938,0.000000,0.000017
1939,0.000000,0.000016
1940,0.000000,0.000014
1941,0.000000,0.000016
1942,0.000000,0.000011
1943,0.000000,0.000011
1944,0.000000,0.000009
1945,0.000000,0.000012
1946,0.000000,0.000008
1947,0.000000,0.000009
1948,0.000000,0.000006
1949,0.000000,0.000009
1950,0.000000,0.000007
1951,0.000000,0.000006
1952,0.000000,0.000010
1953,0.000000,0.000006
1954,0.000000,0.000006
1955,0.000000,0.000008
1956,0.000000,0.000007
1957,0.000000,0.000008
1958,0.000000,0.000006
1959,0.000000,0.000005
1960,0.000000,0.000004
1961,0.000000,0.000004
1962,0.000000,0.000005
1963,0.000000,0.000006
1964,0.000000,0.000004
1965,0.000000,0.000004
1966,0.000000,0.000005
1967,0.000000,0.000004
1968,0.000000,0.000005
1969,0.000000,0.000003
1970,0.000000,0.000004
1971,0.000000,0.000003
1972,0.000000,0.000005
1973,0.000000,0.000006
1974,0.000000,0.000004
1975,0.000000,0.000004
1976,0.000000,0.000003
1977,0.000000,0.000003
1978,0.000000,0.000006
1979,0.000000,0.000004
1980,0.000000,0.000003
1981,0.000000,0.000003
1982,0.000000,0.000000
1983,0.000000,0.000002
1984,0.000000,0.000002
1985,0.000000,0.000002
1986,0.000000,0.000003
1987,0.000000,0.000003
1988,0.000000,0.000003
1989,0.000000,0.000004
1990,0.000000,0.000002
1991,0.000000,0.000003
1992,0.000000,0.000002
1993,0.000000,0.000002
1994,0.000000,0.000002
1995,0.000000,0.000000
1996,0.000000,0.000002
1997,0.000000,0.000003
1998,0.000000,0.000003
1999,0.000000,0.000003
2000,0.000000,0.000002
2001,0.000000,0.000002
2002,0.000000,0.000003
2003,0.000000,0.000002
2004,0.000000,0.000002
2005,0.000000,0.000002
2006,0.000000,0.000002
2007,0.000000,0.000002
2008,0.000000,0.000004
2009,0.000000,0.000002
2010,0.000000,0.000002
2011,0.000000,0.000002
2012,0.000000,0.000000
2013,0.000000,0.000002
